step	pivot
1	1.5786516666412354
2	2.134615421295166
3	1.9481481313705444
4	2.266472816467285
5	2.652777671813965
6	2.6579456329345703
7	2.7397003173828125
8	3.126436710357666
9	2.997092962265014
10	3.7970588207244873
11	3.257662773132324
12	3.413888931274414
13	2.872159004211426
14	3.4866254329681396
15	2.9925925731658936
16	2.9459707736968994
17	3.90925931930542
18	4.132022380828857
19	2.925925970077514
20	2.9871795177459717
21	3.4861111640930176
22	2.8910984992980957
23	3.0892856121063232
24	3.5994317531585693
25	3.1470587253570557
26	2.6934523582458496
27	2.9078431129455566
28	2.479400634765625
29	2.592479705810547
30	1.8888888359069824
31	1.6551724672317505
32	2.027777671813965
33	1.6747967004776
34	1.7881525754928589
35	1.7916666269302368
36	1.7864583730697632
37	1.3734177350997925
38	1.364837408065796
39	1.6434599161148071
40	1.7144309282302856
41	1.6489583253860474
42	1.5573593378067017
43	1.1162551641464231
44	1.3368544578552246
45	1.1554054021835327
46	1.6997991800308228
47	1.4909909963607788
48	1.7111872434616089
49	1.5489583015441897
50	1.5326576232910156
51	1.3866666555404663
52	1.3829114437103271
53	1.1269230842590332
54	1.3486841917037964
55	1.3790650367736816
56	1.5416666269302368
57	1.3502252101898191
58	1.0193089246749878
59	1.1019736528396606
60	1.4578189849853516
61	1.0739436149597168
62	1.0576131343841553
63	1.521689534187317
64	1.3103070259094238
65	1.0181623697280884
66	1.4583333730697632
67	1.477450966835022
68	1.2488888502120972
69	1.4541666507720947
70	1.24465811252594
71	1.1666666269302368
72	1.397590398788452
73	1.428888916969299
74	1.1829267740249634
75	1.126068353652954
76	1.405063271522522
77	1.2416666746139526
78	1.0720164775848389
79	1.514957308769226
80	1.153292179107666
81	1.2177083492279053
82	1.3448275327682495
83	1.357456088066101
84	1.388235330581665
85	1.5803921222686768
86	1.389880895614624
87	1.340196132659912
88	1.5884146690368652
89	1.1255273818969729
90	1.2480158805847168
91	1.0905349254608154
92	1.2999999523162842
93	1.1512346267700195
94	1.1147059202194214
95	1.2366666793823242
96	1.168604612350464
97	0.8808139562606812
98	0.9512194991111756
99	0.9217479825019836
