step	pivot
1	0.3814102709293365
2	0.6149425506591797
3	0.5098039507865906
4	0.5352563858032227
5	0.5819672346115112
6	0.5685483813285828
7	0.5885416865348816
8	0.4326241016387939
9	0.4613095223903656
10	0.510606050491333
11	0.6959064602851868
12	0.5849999785423279
13	0.656862735748291
14	0.5154321193695068
15	0.8266128897666931
16	0.5132275223731995
17	0.3317901194095611
18	0.6377550959587097
19	0.4947089850902557
20	0.6525423526763916
21	0.5300546288490295
22	0.769345223903656
23	0.5307692289352417
24	0.6172839403152466
25	0.6653005480766296
26	0.6616666913032532
27	0.6000000238418579
28	0.4470899403095245
29	0.5542327761650085
30	0.5447530746459961
31	0.6172316670417786
32	0.5223214030265808
33	0.682539701461792
34	0.6276041865348816
35	0.5287356376647949
36	0.6744791865348816
37	0.5530303120613098
38	0.7347418069839478
39	0.5724637508392334
40	0.4933333396911621
41	0.578125
42	0.5307692289352417
43	0.739130437374115
44	0.6118420958518982
45	0.4752604067325592
46	0.5231481194496155
47	0.6901408433914185
48	0.4907407462596893
49	0.5603070259094238
50	0.5179487466812134
51	0.4511904716491699
52	0.5747548937797546
53	0.7387387156486511
54	0.6053921580314636
55	0.5300925970077515
56	0.7374429106712341
57	0.646118700504303
58	0.5281531810760498
59	0.5872395634651184
60	0.6021126508712769
61	0.5727699398994446
62	0.5959302186965942
63	0.5485231876373291
64	0.4939024448394775
65	0.5308641791343689
66	0.5144444704055786
67	0.5372806787490845
68	0.6402953863143921
69	0.5922619104385376
70	0.8012820482254028
71	0.6755555272102356
72	0.6899999976158142
73	0.6326754093170166
74	0.6235294342041016
75	0.5039682388305664
76	0.5071138143539429
77	0.6425438523292542
78	0.8322916626930237
79	0.643750011920929
80	0.7693089246749878
81	0.5714285969734192
82	0.693415641784668
83	0.7069288492202759
84	0.7107843160629272
85	0.6474359035491943
86	0.6754902005195618
87	0.5883533954620361
88	0.5842592716217041
89	0.7102272510528564
90	0.6004015803337097
91	0.7102272510528564
92	0.5552536249160767
93	0.6098484992980957
94	0.685606062412262
95	0.6107842922210693
96	0.6685606241226196
97	0.6979166865348816
98	0.688697338104248
99	0.639194130897522
100	0.6336996555328369
101	0.6203703880310059
102	0.6554307341575623
103	0.6867815852165222
104	0.6514337062835693
105	0.8214285969734192
106	0.7178030014038086
107	0.633152186870575
108	0.6811594367027283
109	0.5421456098556519
110	0.6107954382896423
111	0.7003745436668396
112	0.6456043720245361
113	0.6532257795333862
114	0.7789855003356934
115	0.665730357170105
116	0.6344085931777954
117	0.7571684718132019
118	0.6342105269432068
119	0.6730072498321533
120	0.6962365508079529
121	0.6722846627235413
122	0.643369197845459
123	0.5788530707359314
124	0.6507092118263245
125	0.696886420249939
126	0.7293906807899475
127	0.5685185194015503
128	0.6138888597488403
129	0.6382978558540344
130	0.633865237236023
131	0.5859929323196411
132	0.6023550629615784
133	0.5552631616592407
134	0.6783154010772705
135	0.5771276354789734
136	0.6268116235733032
137	0.6684587597846985
138	0.6431159377098083
139	0.4946808516979217
140	0.5670289993286133
141	0.6584249138832092
142	0.5663082599639893
143	0.5602836608886719
144	0.5606883764266968
145	0.5561403632164001
146	0.5666666626930237
147	0.585106372833252
148	0.5219298005104065
149	0.6146953701972961
