step	rir
1	0.80645158886909
2	1.19047621265053
3	1.4957264997065
4	3.47222238779068
5	4.2553190141916195
6	-0.39682541973887997
7	8.55855867266655
8	7.99999982118606
9	6.97674453258514
10	8.33333358168602
11	20.16129046678543
12	14.414414763450619
13	11.90476194024086
14	8.33333358168602
15	12.1621623635292
16	20.00000029802322
17	16.66666716337204
18	20.00000029802322
19	15.97222238779068
20	13.33333402872085
21	25.15723407268524
22	14.74359035491943
23	13.18407952785492
24	27.04402506351471
25	12.25490197539329
26	17.7595630288124
27	24.87922757863998
28	24.23076927661895
29	25.78125
30	23.3333334326744
31	19.1314548254013
32	22.44444489479065
33	21.93486541509628
34	22.38806039094925
35	20.3125
36	21.21212184429168
37	21.686747670173638
38	24.89711940288543
39	27.85087823867798
40	21.15384638309478
41	18.37606877088546
42	27.8138518333435
43	18.8446968793869
44	18.80081295967102
45	23.90350848436355
46	29.8353910446167
47	25.502008199691772
48	25.36764740943908
49	32.77777731418609
50	30.164319276809692
51	27.08333432674408
52	19.41056847572326
53	25.10964870452881
54	21.6463416814804
55	16.66666716337204
56	21.82017564773559
57	23.87387454509735
58	25.999999046325676
59	25.337839126586907
60	25.60240924358368
61	33.549782633781426
62	20.33333331346511
63	25.69444477558136
64	23.03921580314636
65	24.297188222408288
66	23.70129823684692
67	19.57831382751464
68	22.46835380792617
69	19.19831186532974
70	23.47560971975326
71	23.51598143577575
72	27.364864945411682
73	28.787878155708306
74	28.289473056793206
75	16.337719559669488
76	28.587964177131646
77	25.42735040187835
78	31.75105452537536
79	34.539473056793206
80	25.32894611358642
81	33.99122953414917
82	29.270833730697632
83	26.95473134517669
84	27.947154641151428
85	21.729958057403557
86	18.91025602817535
87	21.27192914485931
88	27.48917639255523
89	32.18750059604645
90	20.88888883590698
91	27.625569701194756
92	22.555555403232567
93	29.39189076423645
94	27.631577849388123
95	23.35526347160339
96	20.88607549667358
97	27.291667461395257
98	28.289473056793206
99	24.03846085071563
100	16.87242835760116
101	29.444444179534912
102	24.17840361595153
103	32.8313261270523
104	25.9740263223648
105	35.80246865749359
106	26.38888955116272
107	29.6875
108	30.12048304080963
109	28.67965400218963
110	31.069958209991448
111	25.0
112	30.707761645317078
113	27.10843384265899
114	27.55555510520935
115	24.02597367763519
116	24.88262951374054
117	41.4682537317276
118	24.03846085071563
119	24.67948645353317
120	31.434598565101616
