step	pivot
1	1.5173993110656738
2	1.848314642906189
3	2.232407331466675
4	1.5677655935287476
5	1.4882246255874634
6	1.7903225421905518
7	1.7978723049163818
8	1.67119562625885
9	1.439068078994751
10	1.400537610054016
11	1.495370388031006
12	1.7509057521820068
13	1.3885869979858398
14	1.971611738204956
15	1.9963767528533936
16	2.1373627185821533
17	1.5996376276016235
18	1.9528985023498535
19	1.6935484409332275
20	1.9418402910232544
21	1.6808511018753052
22	2.2140350341796875
23	2.600358486175537
24	2.5752687454223633
25	2.288194417953491
26	2.152329683303833
27	2.405797004699707
28	2.063368082046509
29	2.3510637283325195
30	2.4479167461395264
31	2.5528674125671387
32	2.285842180252075
33	2.766493082046509
34	2.2136523723602295
35	2.471052646636963
36	2.402482271194458
37	2.9513888359069824
38	2.795614004135132
39	2.4061403274536133
40	2.999122858047486
41	2.527193069458008
42	3.2578125
43	3.3736841678619385
44	3.26358699798584
45	3.045614004135132
46	2.9010417461395264
47	2.964912176132202
48	2.9184210300445557
49	2.807894706726074
50	3.6171875
51	3.133333444595337
52	3.569444417953491
53	3.116666555404663
54	3.1432292461395264
55	3.448784828186035
56	3.3576388359069824
57	3.5729167461395264
58	3.750868082046509
59	3.3029513359069824
60	3.671875
61	3.5173611640930176
62	3.5649123191833496
63	4.006140232086182
64	3.5234375
65	3.630701780319214
66	3.538194417953491
67	3.452256917953491
68	3.1875
69	3.761284828186035
70	3.714409828186035
71	3.999131917953491
72	3.4088542461395264
73	2.8454861640930176
74	3.413194417953491
75	3.644965171813965
76	3.227430582046509
77	3.659722328186035
78	3.5295138359069824
79	3.125438690185547
80	3.203993082046509
81	3.105034828186035
82	3.871527671813965
83	3.389756917953491
84	3.405381917953491
85	3.194444417953491
86	3.3810763359069824
87	3.1779513359069824
88	3.3802082538604736
89	3.5989582538604736
90	3.284722328186035
91	3.0989582538604736
92	3.0017361640930176
93	3.0017361640930176
94	3.514756917953491
95	3.2291667461395264
96	3.308159828186035
97	2.8967013359069824
98	3.404386043548584
99	2.936631917953491
100	3.223090171813965
101	3.1076388359069824
102	3.272569417953491
103	3.477430582046509
104	3.1901042461395264
105	3.414930582046509
106	3.155381917953491
107	3.2254385948181152
108	3.409722328186035
109	3.417543888092041
110	3.0329861640930176
111	3.4010417461395264
112	3.5292553901672363
113	3.40625
114	3.8845486640930176
115	3.5649123191833496
116	3.3342013359069824
117	3.359375
118	3.8464913368225098
119	3.7317707538604736
120	3.436842203140259
121	3.1877193450927734
122	3.871863842010498
123	3.3989362716674805
124	3.8072917461395264
125	3.5206093788146973
126	3.3463542461395264
127	3.069298267364502
128	3.464157819747925
129	3.63315224647522
130	4.16929817199707
131	3.868794441223145
132	3.9012680053710938
133	4.120567321777344
134	4.101648330688477
135	4.230072498321533
136	3.8865249156951904
137	4.310035705566406
138	4.668539524078369
139	4.59706974029541
140	4.94351863861084
141	4.904761791229248
142	5.194756507873535
143	5.4601850509643555
144	5.3351850509643555
145	6.362804889678955
146	5.918674468994141
147	5.8965864181518555
148	5.660569190979004
149	6.261316776275635
150	5.772286891937256
151	5.792145729064941
152	5.518410682678223
153	5.610000133514404
154	6.388888835906982
155	5.375968933105469
156	5.685184955596924
157	5.465174198150635
158	6.295044898986816
159	4.645237922668457
160	5.734741687774658
161	5.1583333015441895
162	5.0933332443237305
163	4.858974456787109
164	4.288461685180664
165	5.391025543212891
166	5.627450942993164
167	6.437793254852295
168	4.283854007720947
169	4.661538600921631
