step	rir
1	2.0833
2	1.5152
3	0.0000
4	0.2717
5	0.0000
6	0.3623
7	0.7168
8	1.8939
9	0.3546
10	0.5435
11	0.0000
12	1.7399
13	0.0000
14	0.9690
15	1.0753
16	1.2281
17	1.1525
18	1.9022
19	3.6111
20	2.8070
21	2.6042
22	1.0753
23	0.5263
24	1.6667
25	1.1525
26	1.7730
27	0.7812
28	1.6304
29	1.9298
30	2.8070
31	1.0638
32	1.6493
33	0.8772
34	5.8160
35	2.7193
36	2.3050
37	4.8759
38	5.0877
39	2.8947
40	3.7234
41	3.5088
42	3.6842
43	3.3333
44	3.4722
45	5.0877
46	4.1667
47	2.6042
48	3.6458
49	2.1701
50	1.7544
51	5.5556
52	5.0347
53	2.9514
54	5.7292
55	5.9028
56	3.3854
57	5.6140
58	6.7708
59	4.4737
60	5.2305
61	4.0799
62	6.2281
63	8.8542
64	6.2500
65	7.3684
66	6.6667
67	5.5556
68	10.3299
69	3.2986
70	7.9861
71	5.9896
72	5.4687
73	5.7018
74	6.1632
75	10.9375
76	9.3750
77	7.2049
78	7.2049
79	8.3333
80	7.0175
81	8.4201
82	8.4201
83	7.9861
84	6.7708
85	9.3750
86	9.9826
87	8.3333
88	12.0660
89	7.3684
90	8.0729
91	11.7188
92	10.8772
93	8.8542
94	7.5521
95	8.9410
96	12.8472
97	9.2982
98	12.9340
99	12.4132
100	17.7083
101	10.0694
102	14.1493
103	11.9792
104	11.1111
105	12.2396
106	9.7222
107	14.0625
108	11.2847
109	15.3646
110	12.1528
111	18.5764
112	22.4826
113	18.9474
114	13.1944
115	21.5278
116	18.2292
117	19.2708
118	15.5382
119	16.1458
120	21.3542
121	17.4479
122	22.6562
123	19.3576
124	14.9123
125	26.7361
126	18.0556
127	17.9688
128	21.2766
129	21.1404
130	15.7895
131	26.6493
132	22.8947
133	19.3860
134	23.9583
135	27.0175
136	29.5614
137	28.8596
138	23.4043
139	27.3438
140	27.0833
141	25.6140
142	32.3477
143	26.9965
144	29.4803
145	29.4737
146	38.1206
147	33.0702
148	31.5412
149	33.5227
150	36.1111
151	32.2344
152	35.4630
153	42.9924
154	32.3970
155	33.4259
156	37.0370
157	42.2222
158	42.8161
159	44.2829
160	37.2490
161	30.7407
162	42.1569
163	42.6740
164	42.1456
165	43.6508
166	44.2308
167	41.5570
168	41.4530
169	37.2222
170	49.6711
171	45.4060
172	44.3723
173	55.0228
174	50.5869
175	47.5352
176	39.8374
177	44.5175
178	41.5570
179	41.5404
180	42.3246
181	45.6710
182	40.2778
183	46.5385
184	51.7361
185	43.7831
186	42.3851
187	50.9950
188	51.5152
189	40.0862
190	62.1345
191	55.7292
192	48.1481
193	45.5808
194	47.8495
195	52.5253
196	43.3594
197	40.4372
198	41.4179
199	50.2688
200	50.3623
201	54.2350
202	52.5132
203	53.2486
204	46.9945
205	57.7586
206	49.7268
207	52.0115
208	50.4167
209	47.8788
210	48.1481
211	51.9097
212	57.4713
213	45.8333
214	46.8182
215	48.3631
216	56.6993
217	53.6364
218	60.1190
219	36.3475
220	58.8652
221	43.7037
222	56.2500
223	45.7447
224	52.5510
225	42.4074
226	63.7500
227	52.7083
228	60.1064
229	56.0284
230	58.1250
231	63.3721
232	56.7073
233	59.1270
234	49.4186
235	54.1667
236	69.5000
237	58.7302
238	59.2014
239	48.2456
240	59.2342
241	45.6019
242	53.9683
243	51.9048
244	59.4017
245	69.3750
246	46.6667
247	50.8621
248	64.5833
249	57.1759
250	50.5682
251	56.8750
252	47.7477
253	72.4747
254	65.4762
255	50.6757
256	52.4775
257	50.0000
258	61.8056
259	46.6667
260	55.9896
261	49.4792
262	43.4343
263	49.1379
264	64.1667
265	57.0988
266	54.6748
267	69.6429
268	74.1228
269	54.1667
270	62.0370
271	53.8462
272	60.7143
273	76.7857
274	53.9855
275	67.2043
276	71.9444
277	57.0988
278	52.7778
279	72.4138
280	52.7778
281	67.9688
282	62.5000
283	55.3763
284	59.7222
285	67.8571
286	60.1852
287	50.0000
288	57.2581
289	54.1667
290	59.0909
291	50.6667
292	52.4775
293	59.1146
294	48.4375
295	64.1892
296	43.2099
297	54.7619
298	60.4938
299	44.3333
300	62.1528
301	72.9167
302	73.9583
303	56.3725
304	65.7895
305	68.6275
306	54.3333
307	63.1313
308	58.7121
309	63.7387
310	60.2273
311	64.4928
312	59.2949
313	58.7302
314	60.1449
315	72.2222
316	69.5402
317	56.5972
318	65.4762
319	65.1515
320	37.3188
321	54.7101
322	58.3333
323	57.0513
324	52.3810
325	55.1724
326	40.6250
327	65.7895
328	63.8021
329	46.1538
330	55.6452
331	51.6129
332	58.3333
333	53.3333
334	48.5632
335	63.8889
336	49.7024
337	42.9167
338	61.4583
339	70.4861
340	58.3333
341	66.6667
342	79.1667
343	56.0345
344	55.7692
345	75.7576
346	62.6437
347	64.0351
348	65.9722
349	69.8276
350	70.2381
351	66.6667
352	53.4722
353	54.4444
354	50.2874
355	65.0641
356	80.6667
357	65.2174
358	60.1852
359	84.7826
360	57.9861
361	64.8810
362	53.0556
363	45.2899
364	53.7500
365	55.6667
366	61.8056
367	58.0357
368	48.3333
369	67.0000
370	60.5263
371	55.5556
372	51.5873
373	57.5000
374	36.6667
375	59.7222
376	69.2308
377	41.6667
378	47.2222
379	52.5000
380	69.3333
381	62.5000
382	71.3768
383	69.1667
384	59.4444
385	67.8571
