step	gain
1	0.0080645158886909
2	0.0119047621265053
3	0.014957264997065
4	0.0347222238779068
5	0.0425531901419162
6	-0.0039682541973888
7	0.0855855867266655
8	0.0799999982118606
9	0.0697674453258514
10	0.0833333358168602
11	0.2016129046678543
12	0.1441441476345062
13	0.1190476194024086
14	0.0833333358168602
15	0.121621623635292
16	0.2000000029802322
17	0.1666666716337204
18	0.2000000029802322
19	0.1597222238779068
20	0.1333333402872085
21	0.2515723407268524
22	0.1474359035491943
23	0.1318407952785492
24	0.2704402506351471
25	0.1225490197539329
26	0.177595630288124
27	0.2487922757863998
28	0.2423076927661895
29	0.2578125
30	0.233333334326744
31	0.191314548254013
32	0.2244444489479065
33	0.2193486541509628
34	0.2238806039094925
35	0.203125
36	0.2121212184429168
37	0.2168674767017364
38	0.2489711940288543
39	0.2785087823867798
40	0.2115384638309478
41	0.1837606877088546
42	0.278138518333435
43	0.188446968793869
44	0.1880081295967102
45	0.2390350848436355
46	0.298353910446167
47	0.2550200819969177
48	0.2536764740943908
49	0.3277777731418609
50	0.3016431927680969
51	0.2708333432674408
52	0.1941056847572326
53	0.2510964870452881
54	0.216463416814804
55	0.1666666716337204
56	0.2182017564773559
57	0.2387387454509735
58	0.2599999904632568
59	0.2533783912658691
60	0.2560240924358368
61	0.3354978263378143
62	0.2033333331346511
63	0.2569444477558136
64	0.2303921580314636
65	0.2429718822240829
66	0.2370129823684692
67	0.1957831382751464
68	0.2246835380792617
69	0.1919831186532974
70	0.2347560971975326
71	0.2351598143577575
72	0.2736486494541168
73	0.2878787815570831
74	0.2828947305679321
75	0.1633771955966949
76	0.2858796417713165
77	0.2542735040187835
78	0.3175105452537536
79	0.3453947305679321
80	0.2532894611358642
81	0.3399122953414917
82	0.2927083373069763
83	0.2695473134517669
84	0.2794715464115143
85	0.2172995805740356
86	0.1891025602817535
87	0.2127192914485931
88	0.2748917639255523
89	0.3218750059604645
90	0.2088888883590698
91	0.2762556970119476
92	0.2255555540323257
93	0.2939189076423645
94	0.2763157784938812
95	0.2335526347160339
96	0.2088607549667358
97	0.2729166746139526
98	0.2828947305679321
99	0.2403846085071563
100	0.1687242835760116
101	0.2944444417953491
102	0.2417840361595153
103	0.328313261270523
104	0.259740263223648
105	0.3580246865749359
106	0.2638888955116272
107	0.296875
108	0.3012048304080963
109	0.2867965400218963
110	0.3106995820999145
111	0.25
112	0.3070776164531708
113	0.2710843384265899
114	0.2755555510520935
115	0.2402597367763519
116	0.2488262951374054
117	0.414682537317276
118	0.2403846085071563
119	0.2467948645353317
120	0.3143459856510162
