step	gain
1	0.3585069477558136
2	0.3541666567325592
3	0.3585069477558136
4	0.3847517669200897
5	0.359929084777832
6	0.4290780127048492
7	0.3492907881736755
8	0.4084249138832092
9	0.3388278484344482
10	0.4444444477558136
11	0.3408239781856537
12	0.4672284722328186
13	0.4166666567325592
14	0.4631783068180084
15	0.4075203239917755
16	0.4610507190227508
17	0.5
18	0.501893937587738
19	0.4789029657840729
20	0.4264069199562073
21	0.4653679728507995
22	0.5718749761581421
23	0.5379746556282043
24	0.4473684132099151
25	0.5555555820465088
26	0.5879629850387573
27	0.5901826620101929
28	0.5598591566085815
29	0.559684693813324
30	0.5686274766921997
31	0.6317567825317383
32	0.5726190209388733
33	0.5702381134033203
34	0.6288889050483704
35	0.622474730014801
36	0.6606280207633972
37	0.6116071343421936
38	0.6347222328186035
39	0.6410256624221802
40	0.5771144032478333
41	0.6203703880310059
42	0.5490196347236633
43	0.5891813039779663
44	0.5817901492118835
45	0.7136363387107849
46	0.6411564350128174
47	0.5986394286155701
48	0.5984848737716675
49	0.7399425506591797
50	0.6145833134651184
51	0.6906779408454895
52	0.6522436141967773
53	0.6939393877983093
54	0.6241829991340637
55	0.6606060862541199
56	0.6166666746139526
57	0.679347813129425
58	0.5742424130439758
59	0.6388888955116272
60	0.6933333277702332
61	0.619918704032898
62	0.7631579041481018
63	0.7829457521438599
64	0.6910569071769714
65	0.6666666865348816
66	0.6696428656578064
67	0.5092592835426331
68	0.7348484992980957
69	0.6542553305625916
70	0.7517006993293762
71	0.7166666388511658
72	0.6909722089767456
73	0.7395833134651184
74	0.6279069781303406
75	0.7045454382896423
76	0.7117117047309875
77	0.6083333492279053
78	0.716269850730896
79	0.8273809552192688
80	0.7772108912467957
81	0.6036585569381714
82	0.7083333134651184
83	0.8111110925674438
84	0.7828282713890076
85	0.7073643207550049
86	0.7291666865348816
87	0.6565040946006775
88	0.6342592835426331
89	0.719298243522644
90	0.7403100728988647
91	0.723809540271759
92	0.7666666507720947
93	0.7965116500854492
94	0.8145161271095276
95	0.6717171669006348
96	0.762499988079071
97	0.788095235824585
98	0.6868686676025391
99	0.7430555820465088
100	0.8289473652839661
101	0.7948718070983887
102	0.6794871687889099
103	0.7740740776062012
104	0.7749999761581421
105	0.7073643207550049
106	0.7944444417953491
107	0.8120155334472656
108	0.8063063025474548
109	0.7754629850387573
110	0.8421052694320679
111	0.6851851940155029
112	0.7258771657943726
113	0.8684210777282715
114	0.6937984228134155
115	0.8541666865348816
116	0.7245370149612427
117	0.8357142806053162
118	0.7093495726585388
119	0.78125
120	0.7222222089767456
121	0.8383838534355164
122	0.8039215803146362
123	0.8166666626930237
124	0.6845238208770752
125	0.7011494040489197
126	0.7152777910232544
127	0.7561728358268738
128	0.7746913433074951
129	0.7690476179122925
130	0.7530864477157593
131	0.8306451439857483
132	0.7803030014038086
133	0.7752525210380554
134	0.8771929740905762
135	0.6376811861991882
136	0.8784722089767456
137	0.8842592835426331
138	0.8063725233078003
139	0.7678571343421936
140	0.8714285492897034
141	0.7133333086967468
142	0.8210784196853638
143	0.6379310488700867
144	0.8541666865348816
145	0.7083333134651184
146	0.7777777910232544
147	0.7768816947937012
148	0.75
149	0.6006944179534912
150	0.8368055820465088
151	0.7803030014038086
152	0.9196428656578064
153	0.7878788113594055
154	0.7324561476707458
155	0.6628788113594055
156	0.875
157	0.773809552192688
158	0.8913043737411499
159	0.8387096524238586
160	0.7333333492279053
161	0.6212121248245239
