"Step","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/grad_norm","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/grad_norm__MIN","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/grad_norm__MAX"
"1","0.04883870854973793","0.04883870854973793","0.04883870854973793"
"2","0.02783520519733429","0.02783520519733429","0.02783520519733429"
"3","0.025650328025221825","0.025650328025221825","0.025650328025221825"
"4","0.044947147369384766","0.044947147369384766","0.044947147369384766"
"5","0.0792277529835701","0.0792277529835701","0.0792277529835701"
"6","0.04614253714680672","0.04614253714680672","0.04614253714680672"
"7","0.07065186649560928","0.07065186649560928","0.07065186649560928"
"8","0.03795032203197479","0.03795032203197479","0.03795032203197479"
"9","0.03757576271891594","0.03757576271891594","0.03757576271891594"
"10","0.04342155531048775","0.04342155531048775","0.04342155531048775"
"11","0.0503477044403553","0.0503477044403553","0.0503477044403553"
"12","0.05029373988509178","0.05029373988509178","0.05029373988509178"
"13","0.025683967396616936","0.025683967396616936","0.025683967396616936"
"14","0.04618465527892113","0.04618465527892113","0.04618465527892113"
"15","0.046795960515737534","0.046795960515737534","0.046795960515737534"
"16","0.030313607305288315","0.030313607305288315","0.030313607305288315"
"17","0.04806148633360863","0.04806148633360863","0.04806148633360863"
"18","0.05336635932326317","0.05336635932326317","0.05336635932326317"
"19","0.05215207487344742","0.05215207487344742","0.05215207487344742"
"20","0.05724635720252991","0.05724635720252991","0.05724635720252991"
"21","0.04738963395357132","0.04738963395357132","0.04738963395357132"
"22","0.059180743992328644","0.059180743992328644","0.059180743992328644"
"23","0.03942814841866493","0.03942814841866493","0.03942814841866493"
"24","0.06014763191342354","0.06014763191342354","0.06014763191342354"
"25","0.04851006716489792","0.04851006716489792","0.04851006716489792"
"26","0.06447407603263855","0.06447407603263855","0.06447407603263855"
"27","0.059396203607320786","0.059396203607320786","0.059396203607320786"
"28","0.057621944695711136","0.057621944695711136","0.057621944695711136"
"29","0.039630088955163956","0.039630088955163956","0.039630088955163956"
"30","0.061324458569288254","0.061324458569288254","0.061324458569288254"
"31","0.06685443222522736","0.06685443222522736","0.06685443222522736"
"32","0.03341320529580116","0.03341320529580116","0.03341320529580116"
"33","0.0520753376185894","0.0520753376185894","0.0520753376185894"
"34","0.0556429848074913","0.0556429848074913","0.0556429848074913"
"35","0.09216390550136566","0.09216390550136566","0.09216390550136566"
"36","0.05267976224422455","0.05267976224422455","0.05267976224422455"
"37","0.06859975308179855","0.06859975308179855","0.06859975308179855"
"38","0.07854899019002914","0.07854899019002914","0.07854899019002914"
"39","0.061460528522729874","0.061460528522729874","0.061460528522729874"
"40","0.05109589919447899","0.05109589919447899","0.05109589919447899"
"41","0.0510266050696373","0.0510266050696373","0.0510266050696373"
"42","0.07194411009550095","0.07194411009550095","0.07194411009550095"
"43","0.0713486596941948","0.0713486596941948","0.0713486596941948"
"44","0.05259479954838753","0.05259479954838753","0.05259479954838753"
"45","0.061251845210790634","0.061251845210790634","0.061251845210790634"
"46","0.06724969297647476","0.06724969297647476","0.06724969297647476"
"47","0.0589602030813694","0.0589602030813694","0.0589602030813694"
"48","0.07894264906644821","0.07894264906644821","0.07894264906644821"
"49","0.07503463327884674","0.07503463327884674","0.07503463327884674"
"50","0.05590350180864334","0.05590350180864334","0.05590350180864334"
"51","0.054029352962970734","0.054029352962970734","0.054029352962970734"
"52","0.07806596904993057","0.07806596904993057","0.07806596904993057"
"53","0.07240404933691025","0.07240404933691025","0.07240404933691025"
"54","0.06746676564216614","0.06746676564216614","0.06746676564216614"
"55","0.09482954442501068","0.09482954442501068","0.09482954442501068"
"56","0.05902376398444176","0.05902376398444176","0.05902376398444176"
"57","0.07473500072956085","0.07473500072956085","0.07473500072956085"
"58","0.0618119016289711","0.0618119016289711","0.0618119016289711"
"59","0.08059915900230408","0.08059915900230408","0.08059915900230408"
"60","0.07259232550859451","0.07259232550859451","0.07259232550859451"
"61","0.07868874818086624","0.07868874818086624","0.07868874818086624"
"62","0.07968698441982269","0.07968698441982269","0.07968698441982269"
"63","0.09720999002456665","0.09720999002456665","0.09720999002456665"
"64","0.0814167708158493","0.0814167708158493","0.0814167708158493"
"65","0.08807319402694702","0.08807319402694702","0.08807319402694702"
"66","0.08347079157829285","0.08347079157829285","0.08347079157829285"
"67","0.10265602171421051","0.10265602171421051","0.10265602171421051"
"68","0.09478277713060379","0.09478277713060379","0.09478277713060379"
"69","0.07470458745956421","0.07470458745956421","0.07470458745956421"
"70","0.07401809096336365","0.07401809096336365","0.07401809096336365"
"71","0.10790973156690598","0.10790973156690598","0.10790973156690598"
"72","0.10381714254617691","0.10381714254617691","0.10381714254617691"
"73","0.1098041906952858","0.1098041906952858","0.1098041906952858"
"74","0.12663483619689941","0.12663483619689941","0.12663483619689941"
"75","0.10264993458986282","0.10264993458986282","0.10264993458986282"
"76","0.09508342295885086","0.09508342295885086","0.09508342295885086"
"77","0.09909328073263168","0.09909328073263168","0.09909328073263168"
"78","0.13511601090431213","0.13511601090431213","0.13511601090431213"
"79","0.10855460166931152","0.10855460166931152","0.10855460166931152"
"80","0.12121884524822235","0.12121884524822235","0.12121884524822235"
"81","0.09120018780231476","0.09120018780231476","0.09120018780231476"
"82","0.16591081023216248","0.16591081023216248","0.16591081023216248"
"83","0.11531659960746765","0.11531659960746765","0.11531659960746765"
"84","0.13526898622512817","0.13526898622512817","0.13526898622512817"
"85","0.10649466514587402","0.10649466514587402","0.10649466514587402"
"86","0.1481115072965622","0.1481115072965622","0.1481115072965622"
"87","0.10607662051916122","0.10607662051916122","0.10607662051916122"
"88","0.1552860140800476","0.1552860140800476","0.1552860140800476"
"89","0.1261717826128006","0.1261717826128006","0.1261717826128006"
"90","0.18375049531459808","0.18375049531459808","0.18375049531459808"
"91","0.2098865956068039","0.2098865956068039","0.2098865956068039"
"92","0.17372992634773254","0.17372992634773254","0.17372992634773254"
"93","0.5347429513931274","0.5347429513931274","0.5347429513931274"
"94","0.2648477256298065","0.2648477256298065","0.2648477256298065"
"95","0.5379024147987366","0.5379024147987366","0.5379024147987366"
"96","0.8139362335205078","0.8139362335205078","0.8139362335205078"
"97","0.3175380527973175","0.3175380527973175","0.3175380527973175"
"98","0.815870463848114","0.815870463848114","0.815870463848114"
"99","0.7250543236732483","0.7250543236732483","0.7250543236732483"
"100","1.9677026271820068","1.9677026271820068","1.9677026271820068"
"101","0.8666891902685165","0.4369675815105438","1.2964107990264893"
"102","0.7508057355880737","0.6620598435401917","0.8395516276359558"
"103","0.7154798358678818","0.4859340488910675","0.945025622844696"
"104","0.5579683780670166","0.3608286380767822","0.755108118057251"
"105","0.6019685119390488","0.21712109446525574","0.9868159294128418"
"106","0.5987556576728821","0.2672345042228699","0.9302768111228943"
"107","0.869834691286087","0.811600387096405","0.928068995475769"
"108","1.2795606851577759","1.229001760482788","1.3301196098327637"
"109","1.0466647446155548","0.9918723702430725","1.101457118988037"
"110","1.1635509133338928","1.070407748222351","1.2566940784454346"
"111","0.9493862688541412","0.8675897717475891","1.0311827659606934"
"112","0.9673345386981964","0.6928828358650208","1.241786241531372"
"113","0.5222823619842529","0.5222823619842529","0.5222823619842529"
"114","0.34729066491127014","0.34729066491127014","0.34729066491127014"
"115","0.17299112677574158","0.17299112677574158","0.17299112677574158"
"116","0.19977697730064392","0.19977697730064392","0.19977697730064392"
"117","0.15404154360294342","0.15404154360294342","0.15404154360294342"
"118","0.3148770332336426","0.3148770332336426","0.3148770332336426"
"119","0.28315800428390503","0.28315800428390503","0.28315800428390503"
"120","0.25059354305267334","0.25059354305267334","0.25059354305267334"
"121","0.7532867193222046","0.7532867193222046","0.7532867193222046"
"122","0.4687853753566742","0.4687853753566742","0.4687853753566742"
"123","1.0740668773651123","1.0740668773651123","1.0740668773651123"
"124","1.5284875631332397","1.5284875631332397","1.5284875631332397"
"125","1.3954471349716187","1.3954471349716187","1.3954471349716187"
"126","1.163318395614624","1.163318395614624","1.163318395614624"
"127","1.1047933101654053","1.1047933101654053","1.1047933101654053"
"128","1.4545904397964478","1.4545904397964478","1.4545904397964478"
"129","1.3176636695861816","1.3176636695861816","1.3176636695861816"
"130","1.0349515676498413","1.0349515676498413","1.0349515676498413"
"131","0.983208417892456","0.983208417892456","0.983208417892456"
"132","1.3597369194030762","1.3597369194030762","1.3597369194030762"
"133","0.947740375995636","0.947740375995636","0.947740375995636"
"134","1.026542067527771","1.026542067527771","1.026542067527771"
"135","0.9190049767494202","0.9190049767494202","0.9190049767494202"
"136","0.8935325145721436","0.8935325145721436","0.8935325145721436"
"137","1.096846103668213","1.096846103668213","1.096846103668213"
"138","0.7883671522140503","0.7883671522140503","0.7883671522140503"
"139","0.8382521867752075","0.8382521867752075","0.8382521867752075"
"140","0.39688384532928467","0.39688384532928467","0.39688384532928467"
"141","1.0162569284439087","1.0162569284439087","1.0162569284439087"
"142","0.30218473076820374","0.30218473076820374","0.30218473076820374"
"143","0.7581164836883545","0.7581164836883545","0.7581164836883545"
"144","0.1546267867088318","0.1546267867088318","0.1546267867088318"
"145","0.7552076578140259","0.7552076578140259","0.7552076578140259"
"146","0.149395152926445","0.149395152926445","0.149395152926445"
"147","0.6858594417572021","0.6858594417572021","0.6858594417572021"
"148","0.1703982800245285","0.1703982800245285","0.1703982800245285"
"149","0.8616753220558167","0.8616753220558167","0.8616753220558167"
"150","0.36462724208831787","0.36462724208831787","0.36462724208831787"
"151","0.8455842137336731","0.8455842137336731","0.8455842137336731"
"152","0.15687260031700134","0.15687260031700134","0.15687260031700134"
"153","0.9468278884887695","0.9468278884887695","0.9468278884887695"
"154","0.15756864845752716","0.15756864845752716","0.15756864845752716"
"155","0.892861545085907","0.892861545085907","0.892861545085907"
"156","0.17713618278503418","0.17713618278503418","0.17713618278503418"
"157","1.01480233669281","1.01480233669281","1.01480233669281"
"158","0.20286446809768677","0.20286446809768677","0.20286446809768677"
"159","1.0307261943817139","1.0307261943817139","1.0307261943817139"
"160","0.1816914826631546","0.1816914826631546","0.1816914826631546"
"161","1.2876094579696655","1.2876094579696655","1.2876094579696655"
"162","0.19612126052379608","0.19612126052379608","0.19612126052379608"
"163","1.195354700088501","1.195354700088501","1.195354700088501"
"164","0.23217077553272247","0.23217077553272247","0.23217077553272247"
"165","1.261942744255066","1.261942744255066","1.261942744255066"
"166","0.26014187932014465","0.26014187932014465","0.26014187932014465"
"167","1.0906310081481934","1.0906310081481934","1.0906310081481934"
"168","0.25737839937210083","0.25737839937210083","0.25737839937210083"
"169","1.4362285137176514","1.4362285137176514","1.4362285137176514"
"170","0.3682221472263336","0.3682221472263336","0.3682221472263336"
"171","1.3504642248153687","1.3504642248153687","1.3504642248153687"
"172","0.5431056022644043","0.5431056022644043","0.5431056022644043"
"173","0.9051186442375183","0.9051186442375183","0.9051186442375183"
"174","0.6623474359512329","0.6623474359512329","0.6623474359512329"
"175","1.544392704963684","1.544392704963684","1.544392704963684"
"176","0.8368508219718933","0.8368508219718933","0.8368508219718933"
"177","0.90142422914505","0.90142422914505","0.90142422914505"
"178","0.838384747505188","0.838384747505188","0.838384747505188"
"179","1.2898895740509033","1.2898895740509033","1.2898895740509033"
"180","0.630978524684906","0.630978524684906","0.630978524684906"
"181","1.1898432970046997","1.1898432970046997","1.1898432970046997"
"182","0.3886592984199524","0.3886592984199524","0.3886592984199524"
"183","1.0949431657791138","1.0949431657791138","1.0949431657791138"
"184","475.4009704589844","475.4009704589844","475.4009704589844"
"185","16.811132431030273","16.811132431030273","16.811132431030273"
"186","4.303658485412598","4.303658485412598","4.303658485412598"
"187","0.5432115197181702","0.5432115197181702","0.5432115197181702"
"188","0.5597317218780518","0.5597317218780518","0.5597317218780518"
"189","0.8159682750701904","0.8159682750701904","0.8159682750701904"
"190","0.3967566192150116","0.3967566192150116","0.3967566192150116"
