step	rir
1	35.85069477558136
2	35.41666567325592
3	35.85069477558136
4	38.47517669200897
5	35.992908477783196
6	42.90780127048492
7	34.92907881736755
8	40.842491388320916
9	33.88278484344482
10	44.44444477558136
11	34.08239781856537
12	46.72284722328186
13	41.66666567325592
14	46.31783068180084
15	40.75203239917755
16	46.10507190227508
17	50.0
18	50.189393758773804
19	47.89029657840729
20	42.64069199562073
21	46.53679728507995
22	57.18749761581421
23	53.797465562820435
24	44.73684132099151
25	55.55555820465088
26	58.79629850387573
27	59.01826620101929
28	55.985915660858154
29	55.9684693813324
30	56.86274766921997
31	63.17567825317383
32	57.26190209388733
33	57.02381134033203
34	62.888890504837036
35	62.2474730014801
36	66.06280207633972
37	61.16071343421936
38	63.47222328186035
39	64.10256624221802
40	57.711440324783325
41	62.037038803100586
42	54.90196347236633
43	58.91813039779663
44	58.179014921188354
45	71.36363387107849
46	64.11564350128174
47	59.86394286155701
48	59.84848737716675
49	73.99425506591797
50	61.45833134651184
51	69.06779408454895
52	65.22436141967773
53	69.39393877983093
54	62.41829991340637
55	66.06060862541199
56	61.666667461395264
57	67.9347813129425
58	57.42424130439758
59	63.88888955116272
60	69.33333277702332
61	61.991870403289795
62	76.31579041481018
63	78.29457521438599
64	69.10569071769714
65	66.66666865348816
66	66.96428656578064
67	50.925928354263306
68	73.48484992980957
69	65.42553305625916
70	75.17006993293762
71	71.66666388511658
72	69.09722089767456
73	73.95833134651184
74	62.79069781303406
75	70.45454382896423
76	71.17117047309875
77	60.83333492279053
78	71.6269850730896
79	82.73809552192688
80	77.72108912467957
81	60.36585569381714
82	70.83333134651184
83	81.11110925674438
84	78.28282713890076
85	70.73643207550049
86	72.91666865348816
87	65.65040946006775
88	63.425928354263306
89	71.9298243522644
90	74.03100728988647
91	72.3809540271759
92	76.66666507720947
93	79.65116500854492
94	81.45161271095276
95	67.17171669006348
96	76.2499988079071
97	78.8095235824585
98	68.6868667602539
99	74.30555820465088
100	82.8947365283966
101	79.48718070983887
102	67.94871687889099
103	77.40740776062012
104	77.49999761581421
105	70.73643207550049
106	79.44444417953491
107	81.20155334472656
108	80.63063025474548
109	77.54629850387573
110	84.21052694320679
111	68.5185194015503
112	72.58771657943726
113	86.84210777282715
114	69.37984228134155
115	85.41666865348816
116	72.45370149612427
117	83.57142806053162
118	70.93495726585388
119	78.125
120	72.22222089767456
121	83.83838534355164
122	80.39215803146362
123	81.66666626930237
124	68.45238208770752
125	70.11494040489197
126	71.52777910232544
127	75.61728358268738
128	77.46913433074951
129	76.90476179122925
130	75.30864477157593
131	83.06451439857483
132	78.03030014038086
133	77.52525210380554
134	87.71929740905762
135	63.76811861991882
136	87.84722089767456
137	88.4259283542633
138	80.63725233078003
139	76.78571343421936
140	87.14285492897034
141	71.33333086967468
142	82.10784196853638
143	63.79310488700867
144	85.41666865348816
145	70.83333134651184
146	77.77777910232544
147	77.68816947937012
148	75.0
149	60.06944179534912
150	83.68055820465088
151	78.03030014038086
152	91.96428656578064
153	78.78788113594055
154	73.24561476707458
155	66.28788113594055
156	87.5
157	77.3809552192688
158	89.13043737411499
159	83.87096524238586
160	73.33333492279053
161	62.12121248245239
