"Step","ALFWORLD_RFT_Qwen_1.5B_R3L_explorer - rollout/reward/mean","ALFWORLD_RFT_Qwen_1.5B_R3L_explorer - rollout/reward/mean__MIN","ALFWORLD_RFT_Qwen_1.5B_R3L_explorer - rollout/reward/mean__MAX"
"1","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"2","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"3","0","0","0"
"4","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"5","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"6","0.0078125","0.0078125","0.0078125"
"7","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"8","0","0","0"
"9","0","0","0"
"10","0","0","0"
"11","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"12","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"13","0","0","0"
"14","0.0078125","0.0078125","0.0078125"
"15","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"16","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"17","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"18","0","0","0"
"19","0","0","0"
"20","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"21","0.0078125","0.0078125","0.0078125"
"22","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"23","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"24","0.015625","0.015625","0.015625"
"25","0.013020833333333334","0.013020833333333334","0.013020833333333334"
"26","0.0078125","0.0078125","0.0078125"
"27","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"28","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"29","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"30","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"31","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"32","0.013020833333333334","0.013020833333333334","0.013020833333333334"
"33","0.0078125","0.0078125","0.0078125"
"34","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"35","0","0","0"
"36","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"37","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"38","0.0078125","0.0078125","0.0078125"
"39","0.0078125","0.0078125","0.0078125"
"40","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"41","0.0026041666666666665","0.0026041666666666665","0.0026041666666666665"
"42","0.0078125","0.0078125","0.0078125"
"43","0","0","0"
"44","0.015625","0.015625","0.015625"
"45","0.015625","0.015625","0.015625"
"46","0.013020833333333334","0.013020833333333334","0.013020833333333334"
"47","0.0078125","0.0078125","0.0078125"
"48","0.010416666666666666","0.010416666666666666","0.010416666666666666"
"49","0.015625","0.015625","0.015625"
"50","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"51","0.013020833333333334","0.013020833333333334","0.013020833333333334"
"52","0.018229166666666668","0.018229166666666668","0.018229166666666668"
"53","0.013020833333333334","0.013020833333333334","0.013020833333333334"
"54","0.020833333333333332","0.020833333333333332","0.020833333333333332"
"55","0.020833333333333332","0.020833333333333332","0.020833333333333332"
"56","0.0078125","0.0078125","0.0078125"
"57","0.005208333333333333","0.005208333333333333","0.005208333333333333"
"58","0.010416666666666666","0.010416666666666666","0.010416666666666666"
"59","0.020833333333333332","0.020833333333333332","0.020833333333333332"
"60","0.0078125","0.0078125","0.0078125"
"61","0.0078125","0.0078125","0.0078125"
"62","0.013020833333333334","0.013020833333333334","0.013020833333333334"
"63","0.015625","0.015625","0.015625"
"64","0.018229166666666668","0.018229166666666668","0.018229166666666668"
"65","0.013020833333333334","0.013020833333333334","0.013020833333333334"
"66","0.0234375","0.0234375","0.0234375"
"67","0.015625","0.015625","0.015625"
"68","0.013020833333333334","0.013020833333333334","0.013020833333333334"
"69","0.010416666666666666","0.010416666666666666","0.010416666666666666"
"70","0.015625","0.015625","0.015625"
"71","0.015625","0.015625","0.015625"
"72","0.015625","0.015625","0.015625"
"73","0.018229166666666668","0.018229166666666668","0.018229166666666668"
"74","0.015625","0.015625","0.015625"
"75","0.033854166666666664","0.033854166666666664","0.033854166666666664"
"76","0.026041666666666668","0.026041666666666668","0.026041666666666668"
"77","0.020833333333333332","0.020833333333333332","0.020833333333333332"
"78","0.036458333333333336","0.036458333333333336","0.036458333333333336"
"79","0.03125","0.03125","0.03125"
"80","0.026041666666666668","0.026041666666666668","0.026041666666666668"
"81","0.018229166666666668","0.018229166666666668","0.018229166666666668"
"82","0.018229166666666668","0.018229166666666668","0.018229166666666668"
"83","0.028645833333333332","0.028645833333333332","0.028645833333333332"
"84","0.018229166666666668","0.018229166666666668","0.018229166666666668"
"85","0.018229166666666668","0.018229166666666668","0.018229166666666668"
"86","0.026041666666666668","0.026041666666666668","0.026041666666666668"
"87","0.018229166666666668","0.018229166666666668","0.018229166666666668"
"88","0.03125","0.03125","0.03125"
"89","0.03125","0.03125","0.03125"
"90","0.020833333333333332","0.020833333333333332","0.020833333333333332"
"91","0.0390625","0.0390625","0.0390625"
"92","0.0390625","0.0390625","0.0390625"
"93","0.03125","0.03125","0.03125"
"94","0.028645833333333332","0.028645833333333332","0.028645833333333332"
"95","0.028645833333333332","0.028645833333333332","0.028645833333333332"
"96","0.028645833333333332","0.028645833333333332","0.028645833333333332"
"97","0.026041666666666668","0.026041666666666668","0.026041666666666668"
"98","0.036458333333333336","0.036458333333333336","0.036458333333333336"
"99","0.059895833333333336","0.059895833333333336","0.059895833333333336"
"100","0.0546875","0.0546875","0.0546875"
"101","0.041666666666666664","0.041666666666666664","0.041666666666666664"
"102","0.036458333333333336","0.036458333333333336","0.036458333333333336"
"103","0.0234375","0.0234375","0.0234375"
"104","0.046875","0.046875","0.046875"
"105","0.052083333333333336","0.052083333333333336","0.052083333333333336"
"106","0.03125","0.03125","0.03125"
"107","0.03125","0.03125","0.03125"
"108","0.046875","0.046875","0.046875"
"109","0.0625","0.0625","0.0625"
"110","0.052083333333333336","0.052083333333333336","0.052083333333333336"
"111","0.046875","0.046875","0.046875"
"112","0.06510416666666667","0.06510416666666667","0.06510416666666667"
"113","0.046875","0.046875","0.046875"
"114","0.0546875","0.0546875","0.0546875"
"115","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"116","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"117","0.078125","0.078125","0.078125"
"118","0.052083333333333336","0.052083333333333336","0.052083333333333336"
"119","0.06770833333333333","0.06770833333333333","0.06770833333333333"
"120","0.059895833333333336","0.059895833333333336","0.059895833333333336"
"121","0.059895833333333336","0.059895833333333336","0.059895833333333336"
"122","0.09895833333333333","0.09895833333333333","0.09895833333333333"
"123","0.10677083333333333","0.10677083333333333","0.10677083333333333"
"124","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"125","0.06510416666666667","0.06510416666666667","0.06510416666666667"
"126","0.08854166666666667","0.08854166666666667","0.08854166666666667"
"127","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"128","0.11458333333333333","0.11458333333333333","0.11458333333333333"
"129","0.11979166666666667","0.11979166666666667","0.11979166666666667"
"130","0.09895833333333333","0.09895833333333333","0.09895833333333333"
"131","0.14322916666666666","0.14322916666666666","0.14322916666666666"
"132","0.14583333333333334","0.14583333333333334","0.14583333333333334"
"133","0.11458333333333333","0.11458333333333333","0.11458333333333333"
"134","0.1484375","0.1484375","0.1484375"
"135","0.14583333333333334","0.14583333333333334","0.14583333333333334"
"136","0.15364583333333334","0.15364583333333334","0.15364583333333334"
"137","0.1953125","0.1953125","0.1953125"
"138","0.1640625","0.1640625","0.1640625"
"139","0.15104166666666666","0.15104166666666666","0.15104166666666666"
"140","0.15364583333333334","0.15364583333333334","0.15364583333333334"
"141","0.17708333333333334","0.17708333333333334","0.17708333333333334"
"142","0.19210526315789472","0.19210526315789472","0.19210526315789472"
"143","0.1328125","0.1328125","0.1328125"
"144","0.171875","0.171875","0.171875"
"145","0.17447916666666666","0.17447916666666666","0.17447916666666666"
"146","0.21354166666666666","0.21354166666666666","0.21354166666666666"
"147","0.21614583333333334","0.21614583333333334","0.21614583333333334"
"148","0.2682291666666667","0.2682291666666667","0.2682291666666667"
"149","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"150","0.22395833333333334","0.22395833333333334","0.22395833333333334"
"151","0.25","0.25","0.25"
"152","0.2994791666666667","0.2994791666666667","0.2994791666666667"
"153","0.3515625","0.3515625","0.3515625"
"154","0.2890625","0.2890625","0.2890625"
"155","0.2734375","0.2734375","0.2734375"
"156","0.3098958333333333","0.3098958333333333","0.3098958333333333"
"157","0.3229166666666667","0.3229166666666667","0.3229166666666667"
"158","0.34375","0.34375","0.34375"
"159","0.3567708333333333","0.3567708333333333","0.3567708333333333"
"160","0.3671875","0.3671875","0.3671875"
"161","0.3151041666666667","0.3151041666666667","0.3151041666666667"
"162","0.4036458333333333","0.4036458333333333","0.4036458333333333"
"163","0.375","0.375","0.375"
"164","0.4114583333333333","0.4114583333333333","0.4114583333333333"
"165","0.40625","0.40625","0.40625"
"166","0.4661458333333333","0.4661458333333333","0.4661458333333333"
"167","0.4817708333333333","0.4817708333333333","0.4817708333333333"
"168","0.484375","0.484375","0.484375"
"169","0.46875","0.46875","0.46875"
"170","0.5078125","0.5078125","0.5078125"
"171","0.4479166666666667","0.4479166666666667","0.4479166666666667"
"172","0.4895833333333333","0.4895833333333333","0.4895833333333333"
"173","0.5911458333333334","0.5911458333333334","0.5911458333333334"
"174","0.5442708333333334","0.5442708333333334","0.5442708333333334"
"175","0.5","0.5","0.5"
"176","0.4895833333333333","0.4895833333333333","0.4895833333333333"
"177","0.4921875","0.4921875","0.4921875"
"178","0.4869791666666667","0.4869791666666667","0.4869791666666667"
"179","0.5546875","0.5546875","0.5546875"
"180","0.5078125","0.5078125","0.5078125"
"181","0.5260416666666666","0.5260416666666666","0.5260416666666666"
"182","0.5677083333333334","0.5677083333333334","0.5677083333333334"
"183","0.6171875","0.6171875","0.6171875"
"184","0.5833333333333334","0.5833333333333334","0.5833333333333334"
