"Step","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_explorer - rollout/reward/mean","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_explorer - rollout/reward/mean__MIN","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_explorer - rollout/reward/mean__MAX"
"116","0.20703125","0.20703125","0.20703125"
"117","0.20182291666666666","0.20182291666666666","0.20182291666666666"
"118","0.17578125","0.17578125","0.17578125"
"119","0.203125","0.203125","0.203125"
"120","0.21614583333333334","0.21614583333333334","0.21614583333333334"
"121","0.23958333333333334","0.23958333333333334","0.23958333333333334"
"122","0.25","0.25","0.25"
"123","0.22265625","0.22265625","0.22265625"
"124","0.19661458333333334","0.19661458333333334","0.19661458333333334"
"125","0.24088541666666666","0.24088541666666666","0.24088541666666666"
"126","0.22005208333333334","0.22005208333333334","0.22005208333333334"
"127","0.234375","0.234375","0.234375"
"128","0.2682291666666667","0.2682291666666667","0.2682291666666667"
"129","0.2734375","0.2734375","0.2734375"
"130","0.23307291666666666","0.23307291666666666","0.23307291666666666"
"131","0.2721354166666667","0.2721354166666667","0.2721354166666667"
"132","0.24739583333333334","0.24739583333333334","0.24739583333333334"
"133","0.27046130952380953","0.27046130952380953","0.27046130952380953"
"134","0.24739583333333334","0.24739583333333334","0.24739583333333334"
"135","0.3190104166666667","0.3190104166666667","0.3190104166666667"
"136","0.2890625","0.2890625","0.2890625"
"137","0.3138020833333333","0.3138020833333333","0.3138020833333333"
"138","0.2864583333333333","0.2864583333333333","0.2864583333333333"
"139","0.25390625","0.25390625","0.25390625"
"140","0.24479166666666666","0.24479166666666666","0.24479166666666666"
"141","0.3033854166666667","0.3033854166666667","0.3033854166666667"
"142","0.2955729166666667","0.2955729166666667","0.2955729166666667"
"143","0.2591145833333333","0.2591145833333333","0.2591145833333333"
"144","0.2630208333333333","0.2630208333333333","0.2630208333333333"
"145","0.265625","0.265625","0.265625"
"146","0.3020833333333333","0.3020833333333333","0.3020833333333333"
"147","0.2890625","0.2890625","0.2890625"
"148","0.3046875","0.3046875","0.3046875"
"149","0.3125","0.3125","0.3125"
"150","0.3125","0.3125","0.3125"
"151","0.2786458333333333","0.2786458333333333","0.2786458333333333"
"152","0.3020833333333333","0.3020833333333333","0.3020833333333333"
"153","0.3151041666666667","0.3151041666666667","0.3151041666666667"
"154","0.3177083333333333","0.3177083333333333","0.3177083333333333"
"155","0.23828125","0.23828125","0.23828125"
"156","0.31640625","0.31640625","0.31640625"
"157","0.3268229166666667","0.3268229166666667","0.3268229166666667"
"158","0.3359375","0.3359375","0.3359375"
"159","0.3059895833333333","0.3059895833333333","0.3059895833333333"
"160","0.2877604166666667","0.2877604166666667","0.2877604166666667"
"161","0.2669270833333333","0.2669270833333333","0.2669270833333333"
"162","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"163","0.30078125","0.30078125","0.30078125"
"164","0.3372395833333333","0.3372395833333333","0.3372395833333333"
"165","0.34375","0.34375","0.34375"
"166","0.359375","0.359375","0.359375"
"167","0.3059895833333333","0.3059895833333333","0.3059895833333333"
"168","0.3346354166666667","0.3346354166666667","0.3346354166666667"
"169","0.3216145833333333","0.3216145833333333","0.3216145833333333"
"170","0.3489583333333333","0.3489583333333333","0.3489583333333333"
"171","0.3216145833333333","0.3216145833333333","0.3216145833333333"
"172","0.3776041666666667","0.3776041666666667","0.3776041666666667"
"173","0.39453125","0.39453125","0.39453125"
"174","0.40234375","0.40234375","0.40234375"
"175","0.3580729166666667","0.3580729166666667","0.3580729166666667"
"176","0.3463541666666667","0.3463541666666667","0.3463541666666667"
"177","0.3424479166666667","0.3424479166666667","0.3424479166666667"
"178","0.3606770833333333","0.3606770833333333","0.3606770833333333"
"179","0.3619791666666667","0.3619791666666667","0.3619791666666667"
"180","0.33203125","0.33203125","0.33203125"
"181","0.3450520833333333","0.3450520833333333","0.3450520833333333"
"182","0.35546875","0.35546875","0.35546875"
"183","0.39453125","0.39453125","0.39453125"
"184","0.39453125","0.39453125","0.39453125"
"185","0.41015625","0.41015625","0.41015625"
"186","0.4231770833333333","0.4231770833333333","0.4231770833333333"
"187","0.4127604166666667","0.4127604166666667","0.4127604166666667"
"188","0.3658854166666667","0.3658854166666667","0.3658854166666667"
"189","0.4270833333333333","0.4270833333333333","0.4270833333333333"
"190","0.4283854166666667","0.4283854166666667","0.4283854166666667"
"191","0.44140625","0.44140625","0.44140625"
"192","0.3919270833333333","0.3919270833333333","0.3919270833333333"
"193","0.47265625","0.47265625","0.47265625"
"194","0.4322916666666667","0.4322916666666667","0.4322916666666667"
"195","0.4205729166666667","0.4205729166666667","0.4205729166666667"
"196","0.4544270833333333","0.4544270833333333","0.4544270833333333"
"197","0.4075520833333333","0.4075520833333333","0.4075520833333333"
