"Step","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/kl_loss","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/kl_loss__MIN","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/kl_loss__MAX"
"1","0.0009901093587922375","0.0009901093587922375","0.0009901093587922375"
"2","0.0010224411833955538","0.0010224411833955538","0.0010224411833955538"
"3","0.001068024625975555","0.001068024625975555","0.001068024625975555"
"4","0.0010594015116208886","0.0010594015116208886","0.0010594015116208886"
"5","0.0010587942010412614","0.0010587942010412614","0.0010587942010412614"
"6","0.001152459281281783","0.001152459281281783","0.001152459281281783"
"7","0.001216658571502194","0.001216658571502194","0.001216658571502194"
"8","0.0012974949769485851","0.0012974949769485851","0.0012974949769485851"
"9","0.0012729017962199434","0.0012729017962199434","0.0012729017962199434"
"10","0.0013237810638355146","0.0013237810638355146","0.0013237810638355146"
"11","0.0013796747277843432","0.0013796747277843432","0.0013796747277843432"
"12","0.0016163487335422424","0.0016163487335422424","0.0016163487335422424"
"13","0.0017629743586959584","0.0017629743586959584","0.0017629743586959584"
"14","0.0017828641506339158","0.0017828641506339158","0.0017828641506339158"
"15","0.0018982363585822004","0.0018982363585822004","0.0018982363585822004"
"16","0.0019965183544288375","0.0019965183544288375","0.0019965183544288375"
"17","0.0022353835068817172","0.0022353835068817172","0.0022353835068817172"
"18","0.002386850127558633","0.002386850127558633","0.002386850127558633"
"19","0.0022682896417239285","0.0022682896417239285","0.0022682896417239285"
"20","0.0023955793820594974","0.0023955793820594974","0.0023955793820594974"
"21","0.0024519141734344885","0.0024519141734344885","0.0024519141734344885"
"22","0.0024703992610303764","0.0024703992610303764","0.0024703992610303764"
"23","0.002499194123888222","0.002499194123888222","0.002499194123888222"
"24","0.002596911580230181","0.002596911580230181","0.002596911580230181"
"25","0.002673228662420195","0.002673228662420195","0.002673228662420195"
"26","0.0026879036552546654","0.0026879036552546654","0.0026879036552546654"
"27","0.002761406428565479","0.002761406428565479","0.002761406428565479"
"28","0.002902710815982484","0.002902710815982484","0.002902710815982484"
"29","0.003137583351763319","0.003137583351763319","0.003137583351763319"
"30","0.0031270275653768626","0.0031270275653768626","0.0031270275653768626"
"31","0.0031828496515029863","0.0031828496515029863","0.0031828496515029863"
"32","0.003368250600424064","0.003368250600424064","0.003368250600424064"
"33","0.003547208680350694","0.003547208680350694","0.003547208680350694"
"34","0.0034409228086699057","0.0034409228086699057","0.0034409228086699057"
"35","0.0036058137596650854","0.0036058137596650854","0.0036058137596650854"
"36","0.003943371134090836","0.003943371134090836","0.003943371134090836"
"37","0.003919288041216769","0.003919288041216769","0.003919288041216769"
"38","0.0040314653663024785","0.0040314653663024785","0.0040314653663024785"
"39","0.00405844311801878","0.00405844311801878","0.00405844311801878"
"40","0.004075546942099377","0.004075546942099377","0.004075546942099377"
"41","0.004202061786439598","0.004202061786439598","0.004202061786439598"
"42","0.004502348438489126","0.004502348438489126","0.004502348438489126"
"43","0.0046472552249691","0.0046472552249691","0.0046472552249691"
"44","0.004513530913244584","0.004513530913244584","0.004513530913244584"
"45","0.004483550732982331","0.004483550732982331","0.004483550732982331"
"46","0.004973787262671343","0.004973787262671343","0.004973787262671343"
"47","0.004945432313420958","0.004945432313420958","0.004945432313420958"
"48","0.0052273399702718725","0.0052273399702718725","0.0052273399702718725"
"49","0.005102050296372647","0.005102050296372647","0.005102050296372647"
"50","0.005478040836620289","0.005478040836620289","0.005478040836620289"
"51","0.005443868584864374","0.005443868584864374","0.005443868584864374"
"52","0.005805193470902185","0.005805193470902185","0.005805193470902185"
"53","0.005975356081034988","0.005975356081034988","0.005975356081034988"
"54","0.00594875447702809","0.00594875447702809","0.00594875447702809"
"55","0.006261735565631706","0.006261735565631706","0.006261735565631706"
"56","0.006083993819197053","0.006083993819197053","0.006083993819197053"
"57","0.006504974266799697","0.006504974266799697","0.006504974266799697"
"58","0.006490792499405125","0.006490792499405125","0.006490792499405125"
"59","0.007074118691140457","0.007074118691140457","0.007074118691140457"
"60","0.006781183234076725","0.006781183234076725","0.006781183234076725"
"61","0.007560447751502715","0.007560447751502715","0.007560447751502715"
"62","0.007891710016796057","0.007891710016796057","0.007891710016796057"
"63","0.007933297851750402","0.007933297851750402","0.007933297851750402"
"64","0.008062751621140965","0.008062751621140965","0.008062751621140965"
"65","0.007823894774940396","0.007823894774940396","0.007823894774940396"
"66","0.008203206706052343","0.008203206706052343","0.008203206706052343"
"67","0.008322817385838977","0.008322817385838977","0.008322817385838977"
"68","0.008531783771091442","0.008531783771091442","0.008531783771091442"
"69","0.00830784274291221","0.00830784274291221","0.00830784274291221"
"70","0.009355719063535963","0.009355719063535963","0.009355719063535963"
"71","0.009048543283588265","0.009048543283588265","0.009048543283588265"
"72","0.009128724925008649","0.009128724925008649","0.009128724925008649"
"73","0.009332477445874749","0.009332477445874749","0.009332477445874749"
"74","0.009890027492698551","0.009890027492698551","0.009890027492698551"
"75","0.011986374206565044","0.011986374206565044","0.011986374206565044"
"76","0.009915776133280376","0.009915776133280376","0.009915776133280376"
"77","0.010191684437764657","0.010191684437764657","0.010191684437764657"
"78","0.010351759997046702","0.010351759997046702","0.010351759997046702"
"79","0.010609662894841651","0.010609662894841651","0.010609662894841651"
"80","0.010596202265116431","0.010596202265116431","0.010596202265116431"
"81","0.01053615489589243","0.01053615489589243","0.01053615489589243"
"82","0.011144480356518683","0.011144480356518683","0.011144480356518683"
"83","0.011222060533776267","0.011222060533776267","0.011222060533776267"
"84","0.011883617388274597","0.011883617388274597","0.011883617388274597"
"85","0.011419139802455902","0.011419139802455902","0.011419139802455902"
"86","0.01232261086713422","0.01232261086713422","0.01232261086713422"
"87","0.013450975866510055","0.013450975866510055","0.013450975866510055"
"88","0.014974871025114626","0.014974871025114626","0.014974871025114626"
"89","0.015000774902845179","0.015000774902845179","0.015000774902845179"
"90","0.016921726074580052","0.016921726074580052","0.016921726074580052"
"91","0.022599233398472682","0.022599233398472682","0.022599233398472682"
"92","0.02293358068484411","0.02293358068484411","0.02293358068484411"
"93","0.019920696685504582","0.019920696685504582","0.019920696685504582"
"94","0.029559136348377382","0.029559136348377382","0.029559136348377382"
"95","0.03617171038117185","0.03617171038117185","0.03617171038117185"
"96","0.024134480632207495","0.024134480632207495","0.024134480632207495"
"97","0.036328469536134174","0.036328469536134174","0.036328469536134174"
"98","0.07558418154506616","0.07558418154506616","0.07558418154506616"
"99","0.06263779308514815","0.06263779308514815","0.06263779308514815"
"100","0.03279431990480849","0.03279431990480849","0.03279431990480849"
"101","0.03790935388095675","0.03751488985950189","0.038303817902411615"
"102","0.066513328629031","0.05646765318609053","0.07655900407197147"
"103","0.07495359348765337","0.05404644329701701","0.09586074367828973"
"104","0.06652422998486127","0.06038078656045082","0.0726676734092717"
"105","0.0724118811761306","0.06217906959879566","0.08264469275346552"
"106","0.09811469751099745","0.08567762523889541","0.1105517697830995"
"107","0.11534129244568553","0.10956928503959357","0.12111329985177749"
"108","0.07711962413662721","0.07051721891086246","0.08372202936239195"
"109","0.09892598018772578","0.07142924576839234","0.1264227146070592"
"110","0.10732126165701432","0.0923792088976483","0.12226331441638034"
"111","0.12370693314306695","0.12243339233100414","0.12498047395512976"
"112","0.09875134784298317","0.08967180953898134","0.107830886146985"
"113","0.13354937211584506","0.13354937211584506","0.13354937211584506"
"114","0.11797986253585717","0.11797986253585717","0.11797986253585717"
"115","0.13566221722534724","0.13566221722534724","0.13566221722534724"
"116","0.14803915470838547","0.14803915470838547","0.14803915470838547"
"117","0.13996537788858954","0.13996537788858954","0.13996537788858954"
"118","0.13966050677001476","0.13966050677001476","0.13966050677001476"
"119","0.15708006991061774","0.15708006991061774","0.15708006991061774"
"120","0.15496770896274467","0.15496770896274467","0.15496770896274467"
"121","0.1375347075565737","0.1375347075565737","0.1375347075565737"
"122","0.17983426451165643","0.17983426451165643","0.17983426451165643"
"123","0.1773169716199239","0.1773169716199239","0.1773169716199239"
"124","0.1166612847070945","0.1166612847070945","0.1166612847070945"
"125","0.1259559936037189","0.1259559936037189","0.1259559936037189"
"126","0.18344841282324573","0.18344841282324573","0.18344841282324573"
"127","0.17509517554711823","0.17509517554711823","0.17509517554711823"
"128","0.1241426830866227","0.1241426830866227","0.1241426830866227"
"129","0.12726414092368893","0.12726414092368893","0.12726414092368893"
"130","0.17257202754561335","0.17257202754561335","0.17257202754561335"
"131","0.1609931926743514","0.1609931926743514","0.1609931926743514"
"132","0.12770269540887252","0.12770269540887252","0.12770269540887252"
"133","0.12963177047926805","0.12963177047926805","0.12963177047926805"
"134","0.17704000370576978","0.17704000370576978","0.17704000370576978"
"135","0.17214414862723187","0.17214414862723187","0.17214414862723187"
"136","0.1382237382978201","0.1382237382978201","0.1382237382978201"
"137","0.1345969960586914","0.1345969960586914","0.1345969960586914"
"138","0.16310141385636395","0.16310141385636395","0.16310141385636395"
"139","0.15767796995909247","0.15767796995909247","0.15767796995909247"
"140","0.14747589352670348","0.14747589352670348","0.14747589352670348"
"141","0.13274518650450162","0.13274518650450162","0.13274518650450162"
"142","0.15445455295496247","0.15445455295496247","0.15445455295496247"
"143","0.16215264435029692","0.16215264435029692","0.16215264435029692"
"144","0.16391738731828","0.16391738731828","0.16391738731828"
"145","0.14677692093961947","0.14677692093961947","0.14677692093961947"
"146","0.16751493055474115","0.16751493055474115","0.16751493055474115"
"147","0.18010745155261765","0.18010745155261765","0.18010745155261765"
"148","0.1603770603558847","0.1603770603558847","0.1603770603558847"
"149","0.1585751402480849","0.1585751402480849","0.1585751402480849"
"150","0.2791056233074735","0.2791056233074735","0.2791056233074735"
"151","0.19861836742077554","0.19861836742077554","0.19861836742077554"
"152","0.17972530302119583","0.17972530302119583","0.17972530302119583"
"153","0.1633833995355027","0.1633833995355027","0.1633833995355027"
"154","0.18883529854183262","0.18883529854183262","0.18883529854183262"
"155","0.19805570766329766","0.19805570766329766","0.19805570766329766"
"156","0.19411292959903848","0.19411292959903848","0.19411292959903848"
"157","0.17521651100148172","0.17521651100148172","0.17521651100148172"
"158","0.2156482543518294","0.2156482543518294","0.2156482543518294"
"159","0.22985943899791045","0.22985943899791045","0.22985943899791045"
"160","0.21726618372443793","0.21726618372443793","0.21726618372443793"
"161","0.20046076600576615","0.20046076600576615","0.20046076600576615"
"162","0.2210512007419154","0.2210512007419154","0.2210512007419154"
"163","0.25401023268065553","0.25401023268065553","0.25401023268065553"
"164","0.23460781001127684","0.23460781001127684","0.23460781001127684"
