"Step","ALFWORLD_RFT_Qwen_1.5B_R3L_trainer - actor/kl_loss","ALFWORLD_RFT_Qwen_1.5B_R3L_trainer - actor/kl_loss__MIN","ALFWORLD_RFT_Qwen_1.5B_R3L_trainer - actor/kl_loss__MAX"
"1","0.0011481894952549527","0.0011481894952549527","0.0011481894952549527"
"2","0.001152425268428179","0.001152425268428179","0.001152425268428179"
"3","0.0011609492988403265","0.0011609492988403265","0.0011609492988403265"
"4","0.00115942535219425","0.00115942535219425","0.00115942535219425"
"5","0.0012186681119130988","0.0012186681119130988","0.0012186681119130988"
"6","0.0014609601635057184","0.0014609601635057184","0.0014609601635057184"
"7","0.001800521788027254","0.001800521788027254","0.001800521788027254"
"8","0.002122214459412699","0.002122214459412699","0.002122214459412699"
"9","0.002240012127590636","0.002240012127590636","0.002240012127590636"
"10","0.002383765957934121","0.002383765957934121","0.002383765957934121"
"11","0.0030423161552541635","0.0030423161552541635","0.0030423161552541635"
"12","0.00400411425701653","0.00400411425701653","0.00400411425701653"
"13","0.005476059001539984","0.005476059001539984","0.005476059001539984"
"14","0.006469232579845874","0.006469232579845874","0.006469232579845874"
"15","0.009005650496592039","0.009005650496592039","0.009005650496592039"
"16","0.009410005612451523","0.009410005612451523","0.009410005612451523"
"17","0.009750123499543406","0.009750123499543406","0.009750123499543406"
"18","0.01103608991842771","0.01103608991842771","0.01103608991842771"
"19","0.012582472414665279","0.012582472414665279","0.012582472414665279"
"20","0.013028856130225247","0.013028856130225247","0.013028856130225247"
"21","0.01353222272860316","0.01353222272860316","0.01353222272860316"
"22","0.013060387181626125","0.013060387181626125","0.013060387181626125"
"23","0.01493943406085512","0.01493943406085512","0.01493943406085512"
"24","0.016872968422831036","0.016872968422831036","0.016872968422831036"
"25","0.016359838445416906","0.016359838445416906","0.016359838445416906"
"26","0.015772520613147697","0.015772520613147697","0.015772520613147697"
"27","0.015201564292822566","0.015201564292822566","0.015201564292822566"
"28","0.01627641549144966","0.01627641549144966","0.01627641549144966"
"29","0.015543902751950311","0.015543902751950311","0.015543902751950311"
"30","0.016764977401388544","0.016764977401388544","0.016764977401388544"
"31","0.01545983145310395","0.01545983145310395","0.01545983145310395"
"32","0.01616943099618177","0.01616943099618177","0.01616943099618177"
"33","0.01564647453430463","0.01564647453430463","0.01564647453430463"
"34","0.016052142645801522","0.016052142645801522","0.016052142645801522"
"35","0.015580407249414036","0.015580407249414036","0.015580407249414036"
"36","0.015097285422186057","0.015097285422186057","0.015097285422186057"
"37","0.016987586167414446","0.016987586167414446","0.016987586167414446"
"38","0.015995262115186936","0.015995262115186936","0.015995262115186936"
"39","0.016934666937838","0.016934666937838","0.016934666937838"
"40","0.016330228914340883","0.016330228914340883","0.016330228914340883"
"41","0.01696610456953446","0.01696610456953446","0.01696610456953446"
"42","0.014643781762570142","0.014643781762570142","0.014643781762570142"
"43","0.017478362068585638","0.017478362068585638","0.017478362068585638"
"44","0.016416151100435317","0.016416151100435317","0.016416151100435317"
"45","0.016177732582119377","0.016177732582119377","0.016177732582119377"
"46","0.016415336759140094","0.016415336759140094","0.016415336759140094"
"47","0.017814618795384447","0.017814618795384447","0.017814618795384447"
"48","0.018127407763816723","0.018127407763816723","0.018127407763816723"
"49","0.017012588982167957","0.017012588982167957","0.017012588982167957"
"50","0.017473219899920286","0.017473219899920286","0.017473219899920286"
"51","0.018110094878536005","0.018110094878536005","0.018110094878536005"
"52","0.017629966357505168","0.017629966357505168","0.017629966357505168"
"53","0.019065622767237455","0.019065622767237455","0.019065622767237455"
"54","0.018548456703623137","0.018548456703623137","0.018548456703623137"
