"Step","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/pg_loss","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/pg_loss__MIN","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/pg_loss__MAX"
"1","-0.002365290625242605","-0.002365290625242605","-0.002365290625242605"
"2","0.006441010384235618","0.006441010384235618","0.006441010384235618"
"3","-0.0023469430174720422","-0.0023469430174720422","-0.0023469430174720422"
"4","0.009178346894839977","0.009178346894839977","0.009178346894839977"
"5","-0.009257222856912347","-0.009257222856912347","-0.009257222856912347"
"6","-0.006806315053356709","-0.006806315053356709","-0.006806315053356709"
"7","0.0017549356704370843","0.0017549356704370843","0.0017549356704370843"
"8","0.004816347317209521","0.004816347317209521","0.004816347317209521"
"9","0.00908214820311496","0.00908214820311496","0.00908214820311496"
"10","0.010387129509950629","0.010387129509950629","0.010387129509950629"
"11","-0.00324270902291953","-0.00324270902291953","-0.00324270902291953"
"12","0.009876756844195452","0.009876756844195452","0.009876756844195452"
"13","-0.00022923162295704797","-0.00022923162295704797","-0.00022923162295704797"
"14","0.012343386649538617","0.012343386649538617","0.012343386649538617"
"15","-0.004152315370035621","-0.004152315370035621","-0.004152315370035621"
"16","0.0008790203827922627","0.0008790203827922627","0.0008790203827922627"
"17","-0.0019236866201961709","-0.0019236866201961709","-0.0019236866201961709"
"18","-0.0038322247042555675","-0.0038322247042555675","-0.0038322247042555675"
"19","-0.0037149935642368775","-0.0037149935642368775","-0.0037149935642368775"
"20","-0.012924019140490425","-0.012924019140490425","-0.012924019140490425"
"21","0.008410654170438648","0.008410654170438648","0.008410654170438648"
"22","0.015928057850235038","0.015928057850235038","0.015928057850235038"
"23","0.012934181829763016","0.012934181829763016","0.012934181829763016"
"24","-0.0005063553117852436","-0.0005063553117852436","-0.0005063553117852436"
"25","0.01583852703895485","0.01583852703895485","0.01583852703895485"
"26","0.005369648677805642","0.005369648677805642","0.005369648677805642"
"27","-0.017223446129644212","-0.017223446129644212","-0.017223446129644212"
"28","-0.00045508948889205124","-0.00045508948889205124","-0.00045508948889205124"
"29","-0.003952360188603894","-0.003952360188603894","-0.003952360188603894"
