Wall time,Step,Value
1766721378.76806,1,1.5173993110656738
1766721784.8893096,2,1.848314642906189
1766722161.5169287,3,2.232407331466675
1766722917.2798784,4,1.5677655935287476
1766723677.4793415,5,1.4882246255874634
1766724134.0740929,6,1.7903225421905518
1766724566.4054666,7,1.7978723049163818
1766724958.223753,8,1.67119562625885
1766725752.4950862,9,1.439068078994751
1766726545.2675192,10,1.4005376100540161
1766726987.3577416,11,1.4953703880310059
1766727412.5437424,12,1.7509057521820068
1766728139.2979581,13,1.3885869979858398
1766728918.773175,14,1.971611738204956
1766729326.2440448,15,1.9963767528533936
1766730061.1712275,16,2.1373627185821533
1766730598.926228,17,1.5996376276016235
1766730988.107479,18,1.9528985023498535
1766731776.6863165,19,1.6935484409332275
1766732286.346651,20,1.9418402910232544
1766733091.6272755,21,1.6808511018753052
1766733546.461522,22,2.2140350341796875
1766734019.7748952,23,2.600358486175537
1766734455.358261,24,2.5752687454223633
1766734908.8738673,25,2.288194417953491
1766735731.7219193,26,2.152329683303833
1766736555.315566,27,2.405797004699707
1766737015.0589132,28,2.063368082046509
1766737462.191875,29,2.3510637283325195
1766738301.9544451,30,2.4479167461395264
1766738759.2474027,31,2.5528674125671387
1766739238.6410267,32,2.285842180252075
1766740095.497718,33,2.766493082046509
1766740964.4713545,34,2.2136523723602295
1766741474.3905532,35,2.471052646636963
1766742328.56822,36,2.402482271194458
1766742836.2063236,37,2.9513888359069824
1766743348.6484103,38,2.795614004135132
1766744273.405139,39,2.4061403274536133
1766744856.1980522,40,2.9991228580474854
1766745417.384172,41,2.527193069458008
1766746325.621033,42,3.2578125
1766746844.8323624,43,3.3736841678619385
1766747427.008508,44,3.26358699798584
1766748499.5693767,45,3.045614004135132
1766749044.7653828,46,2.9010417461395264
1766750061.815721,47,2.964912176132202
1766751062.1549618,48,2.9184210300445557
1766752138.9142952,49,2.807894706726074
1766752750.0182834,50,3.6171875
1766753352.523255,51,3.133333444595337
1766753956.2598946,52,3.569444417953491
1766754558.5523643,53,3.116666555404663
1766755117.0809374,54,3.1432292461395264
1766756182.2194414,55,3.448784828186035
1766757237.7857714,56,3.3576388359069824
1766757888.3471055,57,3.5729167461395264
1766758587.3600564,58,3.750868082046509
1766759674.2638166,59,3.3029513359069824
1766760440.4187102,60,3.671875
1766761488.7013896,61,3.5173611640930176
1766762535.0928352,62,3.5649123191833496
1766763633.369144,63,4.006140232086182
1766764257.0521445,64,3.5234375
1766764864.5487657,65,3.630701780319214
1766765504.4673564,66,3.538194417953491
1766766259.6670592,67,3.452256917953491
1766767390.8633292,68,3.1875
1766768037.245573,69,3.761284828186035
1766768702.6936135,70,3.714409828186035
1766769765.4376152,71,3.999131917953491
1766770444.9771862,72,3.4088542461395264
1766771128.8073652,73,2.8454861640930176
1766771804.8634598,74,3.413194417953491
1766772897.3772008,75,3.644965171813965
1766773944.7985947,76,3.227430582046509
1766774611.4774618,77,3.659722328186035
1766775726.4579434,78,3.5295138359069824
1766776786.13899,79,3.125438690185547
1766777905.823187,80,3.203993082046509
1766778566.3475022,81,3.105034828186035
1766779254.6378691,82,3.871527671813965
1766780400.3516738,83,3.389756917953491
1766781544.7161436,84,3.405381917953491
1766782178.0267289,85,3.194444417953491
1766782863.610802,86,3.3810763359069824
1766784020.477796,87,3.1779513359069824
1766785123.9840527,88,3.3802082538604736
1766785791.41479,89,3.5989582538604736
1766786909.8622692,90,3.284722328186035
1766788040.8878531,91,3.0989582538604736
1766788785.1472976,92,3.0017361640930176
1766789941.8011389,93,3.0017361640930176
1766790598.6600149,94,3.514756917953491
1766791328.3141148,95,3.2291667461395264
1766792025.6341453,96,3.308159828186035
1766792781.96327,97,2.8967013359069824
1766793451.84791,98,3.404386043548584
1766794107.8296394,99,2.936631917953491
1766795266.6315074,100,3.223090171813965
1766796353.068346,101,3.1076388359069824
1766797537.275909,102,3.272569417953491
1766798601.1453052,103,3.477430582046509
1766799718.2278903,104,3.1901042461395264
1766800792.103294,105,3.414930582046509
1766801840.472477,106,3.155381917953491
1766803066.198238,107,3.2254385948181152
1766804127.9508245,108,3.409722328186035
1766804761.3618321,109,3.417543888092041
1766805906.74114,110,3.0329861640930176
1766806491.6849787,111,3.4010417461395264
1766807172.2451484,112,3.5292553901672363
1766808230.0554907,113,3.40625
1766809240.3100395,114,3.8845486640930176
1766809869.787546,115,3.5649123191833496
1766810890.3099627,116,3.3342013359069824
1766811981.0715206,117,3.359375
1766813039.2615466,118,3.8464913368225098
1766814065.9083617,119,3.7317707538604736
1766815158.2222152,120,3.436842203140259
1766816186.3638878,121,3.1877193450927734
1766816752.36197,122,3.871863842010498
1766817776.818557,123,3.3989362716674805
1766818378.3123899,124,3.8072917461395264
1766818971.8429754,125,3.5206093788146973
1766819597.4227865,126,3.3463542461395264
1766820402.5888786,127,3.069298267364502
1766820985.2420492,128,3.464157819747925
1766821944.41887,129,3.6331522464752197
1766822974.7721562,130,4.16929817199707
1766823953.5053658,131,3.8687944412231445
1766824581.0886283,132,3.9012680053710938
1766825139.2541988,133,4.120567321777344
1766825797.804951,134,4.101648330688477
1766826786.3672948,135,4.230072498321533
1766827341.2483332,136,3.8865249156951904
1766827911.9890232,137,4.310035705566406
1766828851.5687451,138,4.668539524078369
1766829504.2554579,139,4.59706974029541
1766830530.8799407,140,4.94351863861084
1766831548.7686083,141,4.904761791229248
1766832565.7568314,142,5.194756507873535
1766833587.0278482,143,5.4601850509643555
1766834146.3847644,144,5.3351850509643555
1766835242.0540555,145,6.362804889678955
