Wall time,Step,Value
1765587899.9771574,1,0.027664007619023323
1765588877.9317753,2,-0.014983918517827988
1765703740.045266,3,-0.019502924755215645
1765704236.50543,4,0.032816193997859955
1765704656.6998246,5,-0.07322990894317627
1765705076.9469419,6,-0.016462862491607666
1765705452.8300488,7,-0.052946534007787704
1765706186.0791097,8,-0.03622948378324509
1765706894.3875222,9,-0.0070478725247085094
1765707316.3679888,10,-0.050342366099357605
1765707717.2295501,11,-0.04232295602560043
1765708526.913364,12,0.01909796893596649
1765708885.5674868,13,-0.017681991681456566
1765709321.5381482,14,0.02047385647892952
1765709842.7564511,15,0.014226851984858513
1765710255.7041047,16,0.027099482715129852
1765711037.2225142,17,0.003351098159328103
1765711440.199218,18,0.0355054996907711
1765711799.1828263,19,0.05151785537600517
1765712215.071069,20,0.015389527194201946
1765712992.5689938,21,0.04330587759613991
1765713435.288009,22,0.0014680310850962996
1765714029.8961158,23,0.003201742423698306
1765714763.0615168,24,0.08331736922264099
1765715517.0739827,25,0.024809854105114937
1765716410.1057363,26,-0.00043248943984508514
1765717157.8482096,27,-0.017344960942864418
1765717961.0338018,28,0.08860951662063599
1765718736.7241163,29,0.01110274437814951
1765719133.5836074,30,0.0009232954471372068
1765719876.3390348,31,0.11755368858575821
1765720750.3122747,32,-0.005935077555477619
1765721157.9652712,33,0.05702813342213631
1765721974.073879,34,0.017378048971295357
1765722596.7772267,35,0.07902443408966064
1765723194.682609,36,0.04120098054409027
1765723707.381582,37,0.0582786425948143
1765724453.2122922,38,0.030965685844421387
1765724857.7097073,39,0.001203165389597416
1765725318.5554714,40,0.08705524355173111
1765726078.4170012,41,0.07288888841867447
1765726920.285606,42,0.003922572825103998
1765727422.9614382,43,0.06111619248986244
1765728305.5788186,44,0.0957544595003128
1765729062.876686,45,0.1094297394156456
1765729471.0362089,46,0.04339022934436798
1765729907.4151928,47,0.06831140071153641
1765730591.6453733,48,0.08640015125274658
1765731375.773401,49,0.08096720278263092
1765732158.819551,50,0.06544552743434906
1765732585.6835063,51,9.315718489233404e-05
1765732978.9502969,52,0.02588045597076416
1765733376.0221477,53,0.021155627444386482
1765734126.1070633,54,0.22847221791744232
1765734932.4113243,55,0.08421237766742706
1765735319.1966817,56,0.05580330267548561
1765735744.440917,57,0.09241630882024765
1765736551.9712083,58,0.051065340638160706
1765737271.3145554,59,0.011374007910490036
1765738052.9034836,60,0.08349683880805969
1765738494.5182981,61,0.09195029735565186
1765739221.3994808,62,0.14325502514839172
1765739936.4035347,63,0.15206575393676758
1765740316.610716,64,0.06904266029596329
1765740713.5178013,65,0.0977371484041214
1765741095.7043183,66,0.05521649494767189
1765741487.0544112,67,0.10337250679731369
1765742180.8179238,68,0.12162571400403976
1765742606.526407,69,0.11147995293140411
1765742989.703639,70,0.0775955319404602
1765743663.913405,71,0.06732026487588882
1765744391.0753543,72,0.10796568542718887
1765745129.5286605,73,0.04233183339238167
1765745578.5742633,74,0.0956052839756012
1765746283.2473073,75,0.16497798264026642
1765746979.7960055,76,0.16729417443275452
1765747315.760908,77,0.16864898800849915
1765747829.3976696,78,0.10735759139060974
1765748199.517339,79,0.11231481283903122
1765748636.2596972,80,0.15108917653560638
1765749038.1536305,81,0.12635116279125214
1765749702.0617754,82,0.08936574310064316
1765750357.5829241,83,0.07382911443710327
1765751047.4946866,84,0.1239980161190033
1765751741.316008,85,0.11977995932102203
1765752444.0177186,86,0.09788408875465393
1765752803.102699,87,0.07628383487462997
1765753178.969648,88,0.12069620192050934
1765753803.5012262,89,0.14189256727695465
1765754207.805572,90,0.08378472179174423
1765754674.8701348,91,0.09846296161413193
1765755345.3804572,92,0.1590358465909958
1765755683.8754199,93,0.0944463238120079
1765756366.2076788,94,0.11034226417541504
1765757023.3788328,95,0.1418887823820114
1765757676.5444026,96,0.11195644736289978
1765758381.5061965,97,0.1850651651620865
1765759015.485091,98,0.091407410800457
1765759710.1198525,99,0.09681089967489243
1765760074.2325034,100,0.14468660950660706
1765760458.7787285,101,0.05292483791708946
1765761013.2390985,102,0.11620842665433884
1765761315.7899973,103,0.08707539737224579
1765761623.940505,104,0.19190099835395813
1765761974.163046,105,0.1214861124753952
1765762576.99874,106,0.15791495144367218
1765762890.6668372,107,0.09173901379108429
1765763473.1059048,108,0.0964701920747757
1765764017.5981622,109,0.07757316529750824
1765764352.6999698,110,0.14921900629997253
1765764920.154119,111,0.11452067643404007
1765765503.3526223,112,0.16225552558898926
1765766023.1502197,113,0.09330284595489502
1765766556.994516,114,0.14796732366085052
1765766828.1046472,115,0.12346725910902023
1765767115.7542138,116,0.12984544038772583
1765767604.458765,117,0.09602604061365128
1765767887.6224756,118,0.1140672117471695
1765768236.915342,119,0.07029279321432114
1765768529.379561,120,0.1288830190896988
1765768788.3972356,121,0.07696905732154846
1765769024.9632568,122,0.14011824131011963
1765769292.1959202,123,0.10448167473077774
1765769534.1227605,124,0.058616071939468384
1765769810.9667673,125,0.08667721599340439
1765770062.182351,126,0.13728174567222595
1765770326.0548894,127,0.14224684238433838
1765770616.1028638,128,0.07736823707818985
1765770833.310078,129,0.12259018421173096
1765771137.3424194,130,0.18614400923252106
1765771384.1469798,131,0.0669337585568428
1765771614.8373654,132,0.09730768948793411
1765771957.9779801,133,0.1383352130651474
1765772409.6990986,134,0.1633702516555786
1765772705.19773,135,0.10815740376710892
1765772942.5683808,136,0.11472409963607788
1765773214.2695184,137,0.19672618806362152
1765773490.9288912,138,0.11600647121667862
1765773777.773364,139,0.12642605602741241
1765774016.7168674,140,0.0836024284362793
1765774261.8504946,141,0.1265053153038025
1765774548.6401799,142,0.05832936614751816
1765774775.5057604,143,0.10702430456876755
1765775080.1586099,144,0.12503299117088318
1765775335.6521108,145,0.06608854979276657
1765775543.3141356,146,0.08265314251184464
1765775844.2564206,147,0.11947786062955856
1765776188.5707393,148,0.062172066420316696
1765776517.7435405,149,0.13347040116786957
1765776967.136918,150,0.14818575978279114
1765777240.2105188,151,0.14286640286445618
1765777535.806482,152,0.09171557426452637
1765777782.070701,153,0.1342136114835739
1765778048.5652318,154,0.10547172278165817
1765778306.8431463,155,0.09309950470924377
1765778584.2782876,156,0.08851425349712372
1765778774.2463975,157,0.11210016906261444
1765779115.7942836,158,0.10430555790662766
1765779554.7445936,159,0.06949317455291748
1765779821.7682858,160,0.13808183372020721
1765780067.119254,161,0.06878912448883057
1765780357.575457,162,0.09394444525241852
1765780619.5669355,163,0.15841557085514069
1765780852.1709807,164,0.13724404573440552
1765781071.3298316,165,0.0913507342338562
1765781345.6042945,166,0.13684074580669403
1765781598.4239926,167,0.08110583573579788
1765781884.1673145,168,0.12415184825658798
1765782108.536241,169,0.1506159007549286
1765782365.5794876,170,0.10388734191656113
1765782611.4683287,171,0.11277597397565842
1765782882.4619813,172,0.09843750298023224
1765783102.2532685,173,0.1289227157831192
1765783407.3648252,174,0.12284259498119354
1765783683.0985808,175,0.09766823053359985
1765784102.324665,176,0.14975199103355408
1765784391.8791502,177,0.10800185054540634
