"Step","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/ppo_kl","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/ppo_kl__MIN","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/ppo_kl__MAX"
"1","0.0001984688990108095","0.0001984688990108095","0.0001984688990108095"
"2","0.0003422767221055374","0.0003422767221055374","0.0003422767221055374"
"3","0.00002546513783425816","0.00002546513783425816","0.00002546513783425816"
"4","0.0000018492078487860395","0.0000018492078487860395","0.0000018492078487860395"
"5","0.000025305820357364914","0.000025305820357364914","0.000025305820357364914"
"6","0.00025194791861385066","0.00025194791861385066","0.00025194791861385066"
"7","0.00012354831304719482","0.00012354831304719482","0.00012354831304719482"
"8","0.00011065431506510313","0.00011065431506510313","0.00011065431506510313"
"9","0.00022344335633863688","0.00022344335633863688","0.00022344335633863688"
"10","0.00020784074696298196","0.00020784074696298196","0.00020784074696298196"
"11","0.0001652835474364181","0.0001652835474364181","0.0001652835474364181"
"12","0.00021208225608103075","0.00021208225608103075","0.00021208225608103075"
"13","0.00024790821385284377","0.00024790821385284377","0.00024790821385284377"
"14","-0.000011310239413166003","-0.000011310239413166003","-0.000011310239413166003"
"15","0.0001661369452505206","0.0001661369452505206","0.0001661369452505206"
"16","-0.000005479805950893918","-0.000005479805950893918","-0.000005479805950893918"
"17","0.00017221469046081804","0.00017221469046081804","0.00017221469046081804"
"18","0.00019567910218139782","0.00019567910218139782","0.00019567910218139782"
"19","0.00006959563340279003","0.00006959563340279003","0.00006959563340279003"
"20","0.00023726905247721492","0.00023726905247721492","0.00023726905247721492"
"21","0.00022308056566705165","0.00022308056566705165","0.00022308056566705165"
"22","0.00008200947313448096","0.00008200947313448096","0.00008200947313448096"
"23","0.00015587332865383419","0.00015587332865383419","0.00015587332865383419"
"24","0.0003581204734041898","0.0003581204734041898","0.0003581204734041898"
"25","0.00010562543793998645","0.00010562543793998645","0.00010562543793998645"
"26","-0.000004222767698270538","-0.000004222767698270538","-0.000004222767698270538"
"27","0.0001902828987586564","0.0001902828987586564","0.0001902828987586564"
"28","0.00022346055289112772","0.00022346055289112772","0.00022346055289112772"
"29","0.00017798143014358572","0.00017798143014358572","0.00017798143014358572"
"30","0.00013749289070922162","0.00013749289070922162","0.00013749289070922162"
"31","-0.000004813654644778815","-0.000004813654644778815","-0.000004813654644778815"
"32","0.00011659357843267917","0.00011659357843267917","0.00011659357843267917"
"33","0.0001852444977650462","0.0001852444977650462","0.0001852444977650462"
"34","0.00020410050555401816","0.00020410050555401816","0.00020410050555401816"
"35","0.00015996007022112474","0.00015996007022112474","0.00015996007022112474"
"36","0.0001967908452437458","0.0001967908452437458","0.0001967908452437458"
"37","0.00020483002278674897","0.00020483002278674897","0.00020483002278674897"
"38","0.00019388763649060586","0.00019388763649060586","0.00019388763649060586"
"39","0.00019041364142562603","0.00019041364142562603","0.00019041364142562603"
"40","0.00008491629598118514","0.00008491629598118514","0.00008491629598118514"
"41","0.0001602213960338491","0.0001602213960338491","0.0001602213960338491"
"42","0.00003687553449952845","0.00003687553449952845","0.00003687553449952845"
"43","0.00020951067857553156","0.00020951067857553156","0.00020951067857553156"
"44","0.0002154567194112859","0.0002154567194112859","0.0002154567194112859"
"45","0.00016312621844100659","0.00016312621844100659","0.00016312621844100659"
"46","0.00021445513622837467","0.00021445513622837467","0.00021445513622837467"
"47","0.0001082044848613884","0.0001082044848613884","0.0001082044848613884"
"48","0.00016745221747455156","0.00016745221747455156","0.00016745221747455156"
"49","0.0001886318749116366","0.0001886318749116366","0.0001886318749116366"
"50","0.0001797863818557718","0.0001797863818557718","0.0001797863818557718"
"51","0.00006915270426556422","0.00006915270426556422","0.00006915270426556422"
"52","0.00045904500922827526","0.00045904500922827526","0.00045904500922827526"
"53","0.00004035622366375589","0.00004035622366375589","0.00004035622366375589"
"54","-0.000049393168323009515","-0.000049393168323009515","-0.000049393168323009515"
"55","0.0002552220082032577","0.0002552220082032577","0.0002552220082032577"
