"Step","ALFWORLD_RFT_Qwen_1.5B_R3L_trainer - actor/opmd_loss","ALFWORLD_RFT_Qwen_1.5B_R3L_trainer - actor/opmd_loss__MIN","ALFWORLD_RFT_Qwen_1.5B_R3L_trainer - actor/opmd_loss__MAX"
"1","0.04761909931683196","0.04761909931683196","0.04761909931683196"
"2","0","0","0"
"3","0.0009863984227801363","0.0009863984227801363","0.0009863984227801363"
"4","-0.00013725860606365162","-0.00013725860606365162","-0.00013725860606365162"
"5","0.02433845393584463","0.02433845393584463","0.02433845393584463"
"6","0.01700541932904531","0.01700541932904531","0.01700541932904531"
"7","0.0004217247769702226","0.0004217247769702226","0.0004217247769702226"
"8","0.005558108613858449","0.005558108613858449","0.005558108613858449"
"9","0.011636841586404179","0.011636841586404179","0.011636841586404179"
"10","-0.00034201101046956833","-0.00034201101046956833","-0.00034201101046956833"
"11","0.018336522435261446","0.018336522435261446","0.018336522435261446"
"12","0.0332133997833201","0.0332133997833201","0.0332133997833201"
"13","0.00029485782368048546","0.00029485782368048546","0.00029485782368048546"
"14","0.04882216747071533","0.04882216747071533","0.04882216747071533"
"15","0.04719393193854244","0.04719393193854244","0.04719393193854244"
"16","0.030268379645021326","0.030268379645021326","0.030268379645021326"
"17","0.03271651768955053","0.03271651768955053","0.03271651768955053"
"18","0.005139767226047706","0.005139767226047706","0.005139767226047706"
"19","0.02956764347064087","0.02956764347064087","0.02956764347064087"
"20","0.02428179057162316","0.02428179057162316","0.02428179057162316"
"21","0.01788444053247356","0.01788444053247356","0.01788444053247356"
"22","0.015109683831476352","0.015109683831476352","0.015109683831476352"
"23","0.0631923685776366","0.0631923685776366","0.0631923685776366"
"24","0.04773246874128745","0.04773246874128745","0.04773246874128745"
"25","0.04622305089353838","0.04622305089353838","0.04622305089353838"
"26","0.04574205936367082","0.04574205936367082","0.04574205936367082"
"27","0.06075574478517021","0.06075574478517021","0.06075574478517021"
"28","0.028026503994149844","0.028026503994149844","0.028026503994149844"
"29","0.061044806705108964","0.061044806705108964","0.061044806705108964"
"30","0.10743039710422246","0.10743039710422246","0.10743039710422246"
"31","0.05432712519625742","0.05432712519625742","0.05432712519625742"
"32","0.0744055149715517","0.0744055149715517","0.0744055149715517"
"33","0.030416546496857797","0.030416546496857797","0.030416546496857797"
"34","0.06859657120690422","0.06859657120690422","0.06859657120690422"
"35","0.05286264848168562","0.05286264848168562","0.05286264848168562"
"36","0.06959641695721075","0.06959641695721075","0.06959641695721075"
"37","0.0511030930230501","0.0511030930230501","0.0511030930230501"
"38","0.08649894516959132","0.08649894516959132","0.08649894516959132"
"39","0.03304006932557968","0.03304006932557968","0.03304006932557968"
"40","0.07757821906922538","0.07757821906922538","0.07757821906922538"
"41","0.01567811149870977","0.01567811149870977","0.01567811149870977"
"42","0.07885542426103105","0.07885542426103105","0.07885542426103105"
"43","0.05130994190322882","0.05130994190322882","0.05130994190322882"
"44","0.029359422784182243","0.029359422784182243","0.029359422784182243"
"45","0.03772302536337709","0.03772302536337709","0.03772302536337709"
"46","0.08023626493212456","0.08023626493212456","0.08023626493212456"
"47","0.05466152060861615","0.05466152060861615","0.05466152060861615"
"48","0.11636383146245338","0.11636383146245338","0.11636383146245338"
"49","0.08437794915781441","0.08437794915781441","0.08437794915781441"
"50","0.13420515380536702","0.13420515380536702","0.13420515380536702"
"51","0.056996649699822925","0.056996649699822925","0.056996649699822925"
"52","0.06501103847441808","0.06501103847441808","0.06501103847441808"
"53","0.11998121678372722","0.11998121678372722","0.11998121678372722"
"54","0.09640357858268545","0.09640357858268545","0.09640357858268545"
"55","0.13829836327968223","0.13829836327968223","0.13829836327968223"
"56","0.04131441351174461","0.04131441351174461","0.04131441351174461"
"57","0.14994622870626","0.14994622870626","0.14994622870626"
"58","0.12164087508012293","0.12164087508012293","0.12164087508012293"
"59","0.1469155759226851","0.1469155759226851","0.1469155759226851"
"60","0.15812069597138492","0.15812069597138492","0.15812069597138492"
"61","0.10796975292978458","0.10796975292978458","0.10796975292978458"
"62","0.1160903437304552","0.1160903437304552","0.1160903437304552"
"63","0.10784826708626688","0.10784826708626688","0.10784826708626688"
"64","0.11484576359905503","0.11484576359905503","0.11484576359905503"
"65","0.16801774088679322","0.16801774088679322","0.16801774088679322"
"66","0.15623601507514906","0.15623601507514906","0.15623601507514906"
"67","0.2122247688472271","0.2122247688472271","0.2122247688472271"
"68","0.12915190269867005","0.12915190269867005","0.12915190269867005"
"69","0.23055586708196643","0.23055586708196643","0.23055586708196643"
"70","0.14723119093572296","0.14723119093572296","0.14723119093572296"
"71","0.16899916338316429","0.16899916338316429","0.16899916338316429"
"72","0.13980977172628273","0.13980977172628273","0.13980977172628273"
"73","0.21920656462671326","0.21920656462671326","0.21920656462671326"
"74","0.2992307284424523","0.2992307284424523","0.2992307284424523"
"75","0.2589375755944788","0.2589375755944788","0.2589375755944788"
"76","0.15316504796585403","0.15316504796585403","0.15316504796585403"
"77","0.220585462239134","0.220585462239134","0.220585462239134"
"78","0.1218191344829213","0.1218191344829213","0.1218191344829213"
"79","0.24069671692996053","0.24069671692996053","0.24069671692996053"
"80","0.20040085262371576","0.20040085262371576","0.20040085262371576"
"81","0.3196740872420681","0.3196740872420681","0.3196740872420681"
"82","0.16278087171040936","0.16278087171040936","0.16278087171040936"
"83","0.26130078204387247","0.26130078204387247","0.26130078204387247"
"84","0.18376036749342112","0.18376036749342112","0.18376036749342112"
"85","0.1780869914644693","0.1780869914644693","0.1780869914644693"
"86","0.30695348548470064","0.30695348548470064","0.30695348548470064"
"87","0.22384400340506988","0.22384400340506988","0.22384400340506988"
"88","0.3784916431555757","0.3784916431555757","0.3784916431555757"
"89","0.3363188129135922","0.3363188129135922","0.3363188129135922"
"90","0.42734780572318415","0.42734780572318415","0.42734780572318415"
"91","0.3034810304996864","0.3034810304996864","0.3034810304996864"
"92","0.246683198459081","0.246683198459081","0.246683198459081"
"93","0.31371471418242436","0.31371471418242436","0.31371471418242436"
"94","0.19261729046162898","0.19261729046162898","0.19261729046162898"
"95","0.22028099628386838","0.22028099628386838","0.22028099628386838"
"96","0.45364767245046095","0.45364767245046095","0.45364767245046095"
"97","0.23226200791656465","0.23226200791656465","0.23226200791656465"
"98","0.12644585278057666","0.12644585278057666","0.12644585278057666"
"99","0.34704310647614395","0.34704310647614395","0.34704310647614395"
"100","0.25514591385256946","0.25514591385256946","0.25514591385256946"
"101","0.5292217436900858","0.5292217436900858","0.5292217436900858"
"102","0.5314568762939113","0.5314568762939113","0.5314568762939113"
"103","0.5228125558630244","0.5228125558630244","0.5228125558630244"
"104","0.2841307777466394","0.2841307777466394","0.2841307777466394"
"105","0.35957770495520286","0.35957770495520286","0.35957770495520286"
"106","0.5294231362951298","0.5294231362951298","0.5294231362951298"
"107","0.4957895376417157","0.4957895376417157","0.4957895376417157"
"108","0.2906036371897267","0.2906036371897267","0.2906036371897267"
"109","0.23984930326397985","0.23984930326397985","0.23984930326397985"
"110","0.3701722895553431","0.3701722895553431","0.3701722895553431"
"111","0.3595171120988841","0.3595171120988841","0.3595171120988841"
"112","0.38850055504153713","0.38850055504153713","0.38850055504153713"
"113","0.538319992820254","0.538319992820254","0.538319992820254"
"114","0.47417303602560423","0.47417303602560423","0.47417303602560423"
"115","0.35071322933903765","0.35071322933903765","0.35071322933903765"
"116","0.6082991567956334","0.6082991567956334","0.6082991567956334"
